Party_Name,Total_Tons,Record_Count,Avg_Tons
Mcinnis Usa Inc.,912482.33,62,14717.45693548387
Totalenergies Petro Chemicals,910886.0,2,455443.0
Ukt Chicago Inc.,907767.87,48,18911.830625
Total Specialties Usa Inc.,898269.12,24,37427.88
Equinor Marketing & Trading,891930.66,16,55745.66625
Sabic Americas,874071.35,30,29135.711666666666
Unipec America,870794.63,16,54424.664375
Jaime Maduro Customs Broker,867530.0,3,289176.6666666667
Totsa Totalenergies Trading Sa,840748.69,45,18683.30422222222
Two Rivers Cement,809367.0,30,26978.9
Cepsa Trading Sau,806339.86,43,18752.08976744186
Halliburton Energy Services,805225.14,26,30970.197692307695
Am/Ns Calvert Llc,800754.16,14,57196.72571428572
"Total Energies Trading Asia Pte., Ltd.",797657.15,36,22157.143055555556
Perstorp Polyols Inc.,796296.0,2,398148.0
Riverside Construction Materials,796262.0,17,46838.94117647059
Global Companies Llc,778491.98,48,16218.582916666666
Nlmk Pennsylvania Corp.,775034.51,16,48439.656875
Green America Biofuels Llc,772294.09,71,10877.381549295775
The Essex Cement Co. Llc,766377.0,18,42576.5
Helm Fertilizer Corp,763721.12,64,11933.1425
Scl Rotterdam,749876.47,32,23433.6396875
Shell Western Supply And,731879.01,14,52277.07214285714
Metsae Board Americas Corp.,730737.17,100,7307.371700000001
Holcim ( Us ) Inc.,726080.0,19,38214.73684210526
Hartree Partners Lp,721682.14,22,32803.733636363635
Ferrosource,708705.01,4,177176.2525
Puraglobe Syntaincis Llc,697746.0,2,348873.0
Best Petroleum Corp.,682766.18,57,11978.354035087721
