Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Petropiar S.A.,5678947.42,81,70110.46197530864,26690.25,80420.78,147302280.73999998,28.2,1.09,Petropiar S.A. Ave.Liberatadir; Petropiar S.A Av. Libertador Con; Petropiar Sa Av Libertador Con; Petropiar Sa; Petropiar S.A. Ave. La Estancia,8
Orca Sand And Gravel Ltd.,5586143.98,189,29556.317354497358,8174.78,68558.3,152888424.71999997,29.2,1.07,,0
Martin Marietta Materials Canada Limited,5310170.0,105,50573.04761904762,21000.0,65000.0,158198594.71999997,30.3,1.02,,0
Compania Minera Miski Mayo Srl,4482763.0200000005,84,53366.226428571434,30981.0,80143.68,162681357.73999998,31.1,0.86,Compania Minera Cordillera Chile; Compania Minera Autlan S.A.B. De C.V.,2
Celanese Operations Mexico S. De,4448159.33,53,83927.53452830188,2799.58,400011.0,167129517.07,32.0,0.85,,0
Pmi Come Int Sa De Co.,4286711.2,77,55671.57402597403,21929.52,84629.39,171416228.26999998,32.8,0.82,Pmi Come International Sa De Cv; Pmi Comercio International S A Decv; Pmi Comercial International Sa De C; Pmi Comercio International Sa De C; Pmi Comercio International S A De,7
Emirates Aluminium,4133684.31,41,100821.56853658537,2531.56,492636.0,175549912.57999998,33.6,0.79,,0
Discovery Bauxite Operations Ltd.,3975558.0,96,41412.0625,10049.0,63861.0,179525470.57999998,34.3,0.76,,0
Pmi Trading Designated Activity Co.,3920909.89,141,27807.87156028369,3007.59,54060.64,183446380.46999997,35.1,0.75,Pmi Trading Ltd.; Pmi Trading Dac; Pmi Trading Designated Activity; Pmi Trading Designated Activity Com,4
Dubai Aluminium,3877849.87,24,161577.07791666666,2522.0,384313.0,187324230.33999997,35.8,0.74,,0
Exxonmobil Chemical Holland Bv,3772682.04,8,471585.255,397961.0,499911.0,191096912.37999997,36.5,0.72,Exxonmobil Chemical Belgium; Exxonmobil Petroleum And Chemical; Exxonmobil Chemical Asia Pacific; Exxonmobil Chemical Co.; Exxonmobil Chemical Ltd.,6
Pmi Trad Design Act Co.,3746379.45,142,26382.95387323944,4538.0,54544.07,194843291.82999995,37.3,0.72,Pmi Trading Ltd.; Pmi Trading Designated Activity Co.; Pmi Trading Dac; Pmi Trading Designated Activity; Pmi Trading Designated Activity Com,5
Petroleo Brasileiro S.A.   Petrobras,3728160.82,68,54825.894411764704,3014.0,355160.5,198571452.64999995,38.0,0.71,Petroleo Brasileiro S.A.; Petroleo Brasileiro S.A. Petrobras; Petroleo Brasileiro S A Petrobras,3
Compass Minerals Canada,3585601.15,214,16755.145560747664,2678.37,116078.76,202157053.79999995,38.7,0.69,,0
Bahama Rock Ltd.,3578416.0,95,37667.53684210526,4540.0,48000.0,205735469.79999995,39.3,0.68,,0
