Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Citrus Products Inc.,594167.39,58,10244.265344827587,2808.5,29999.65,429082908.7200001,75.4,0.1,,0
Roanoke Cement Co. Llc,592903.0,15,39526.86666666667,6957.0,44000.0,429675811.7200001,75.5,0.1,,0
United States Gypsum Co.,587082.0,12,48923.5,35000.0,72000.0,430262893.7200001,75.6,0.1,,0
Sk Enmove Americas Inc.,580729.0,91,6381.6373626373625,2520.0,14273.0,430843622.7200001,75.7,0.1,,0
Cmpc Usa,573536.52,64,8961.508125,3536.75,23199.53,431417159.24000007,75.8,0.1,,0
Hm Northwest Cement Co.,573030.31,90,6367.003444444445,2880.31,9350.0,431990189.5500001,75.9,0.1,,0
Reliance International Ltd.,562914.9,25,22516.596,4478.0,64489.24,432553104.45000005,76.0,0.1,,0
Pmi Trading Designated Activity Co.,562578.74,19,29609.407368421053,20571.0,53306.0,433115683.19000006,76.1,0.1,,0
Hawaiian Cement Cement Division,560800.0,16,35050.0,34000.0,36400.0,433676483.19000006,76.2,0.1,,0
Belfius Bank Brussels,559116.2,2,279558.1,279558.1,279558.1,434235599.39000005,76.3,0.1,,0
Lafarge North America,555224.43,60,9253.740500000002,2500.0,32190.0,434790823.82000005,76.4,0.1,,0
Mineral Resource Technolgy,552190.0,46,12004.130434782608,4000.0,25000.0,435343013.82000005,76.5,0.1,,0
Bp Oil International Ltd.,551675.1799999999,16,34479.698749999996,6842.0,104559.0,435894689.00000006,76.6,0.1,,0
Dunham Price Group Llc,550705.0,13,42361.92307692308,40111.0,44019.0,436445394.00000006,76.7,0.1,,0
Marathon Carson Refinery,548511.0700000001,6,91418.51166666667,54446.22,140546.64,436993905.07000005,76.8,0.1,,0
Tartan Oil Llc,545608.59,36,15155.794166666667,3670.23,36125.0,437539513.66,76.9,0.1,,0
Macrosource Llc,541054.05,53,10208.566981132077,2812.28,43999.6,438080567.71000004,77.0,0.1,,0
Koch Fertilizer Llc,532427.43,24,22184.476250000003,5000.0,49500.0,438612995.14000005,77.1,0.09,,0
Tronox Llc,531132.16,37,14354.923243243244,3229.02,28009.96,439144127.3000001,77.2,0.09,,0
Chevron Texaco,527012.0,7,75287.42857142857,69290.0,78943.0,439671139.3000001,77.3,0.09,,0
Suncor Energy Marketing Inc.,525972.0,12,43831.0,3766.0,99478.0,440197111.3000001,77.4,0.09,,0
Total Energies Marketing Puerto,523461.29,52,10066.563269230768,2516.0,33308.0,440720572.5900001,77.4,0.09,,0
Texan Cement,523355.68,12,43612.973333333335,42430.0,44103.0,441243928.2700001,77.5,0.09,,0
Citrosuco N.A. Inc.,522298.36,51,10241.14431372549,3014.09,16489.8,441766226.6300001,77.6,0.09,,0
Coastal Cement Corp.,517120.4,25,20684.816000000003,4500.0,33000.0,442283347.0300001,77.7,0.09,,0
Trans American Chb Inc.,515519.0,11,46865.36363636364,44000.0,48000.0,442798866.0300001,77.8,0.09,,0
Equinor Marketing & Trad Us Inc.,507404.35,7,72486.33571428571,44317.01,108323.0,443306270.3800001,77.9,0.09,,0
Pennzoil Quaker State Co. Dba Sopus Products,505059.16,48,10522.065833333332,2961.27,19073.88,443811329.54000014,78.0,0.09,,0
Valero Energy,501210.95999999996,14,35800.782857142854,6960.1,77236.56,444312540.5000001,78.1,0.09,,0
Oxbow Calcining International Llc,500261.37,30,16675.379,4081.0,32352.69,444812801.8700001,78.2,0.09,,0
Levy Blue Water Aggregate,500000.0,18,27777.777777777777,15000.0,33000.0,445312801.8700001,78.3,0.09,,0
Lanxess Deutschland G,493625.98,2,246812.99,246812.99,246812.99,445806427.85000014,78.3,0.09,,0
Phillips 66 International Trading,489931.4,87,5631.395402298851,2500.0,26109.0,446296359.2500001,78.4,0.09,,0
Eneos America Inc.,487157.56,40,12178.939,2803.64,71372.62,446783516.8100001,78.5,0.09,,0
Shell International Eastern Trading,486086.3,17,28593.311764705883,3900.15,57429.0,447269603.11000013,78.6,0.09,,0
Hlj International Trading Co.,485200.0,15,32346.666666666668,13500.0,51500.0,447754803.11000013,78.7,0.09,,0
Bdp International Airport,484470.02,2,242235.01,242235.01,242235.01,448239273.1300001,78.8,0.09,,0
"Brb Singapore Pte., Ltd.",480602.0,18,26700.11111111111,5080.0,48230.0,448719875.1300001,78.9,0.08,,0
Pacifica Piling Ltd. Partnership,480460.0,1,480460.0,480460.0,480460.0,449200335.1300001,78.9,0.08,,0
Novum Energy,479862.76,24,19994.281666666666,3855.37,77258.67,449680197.8900001,79.0,0.08,,0
Sherwood Lumber Corp.,479069.97,24,19961.24875,4949.51,35912.39,450159267.86000013,79.1,0.08,,0
Inpex Energy Trading Ltd.,477920.0,20,23896.0,2788.0,52969.0,450637187.86000013,79.2,0.08,,0
Sony Puerto Rico Inc.,476668.1,39,12222.258974358974,2533.0,28769.0,451113855.96000016,79.3,0.08,,0
Ees Coke Battery L.L.C.,476000.0,20,23800.0,17000.0,27000.0,451589855.96000016,79.4,0.08,,0
Atlantic Trading & Marketing Inc.,473608.83,17,27859.34294117647,2995.0,75014.5,452063464.79000014,79.4,0.08,,0
The Chemours Co.,473110.87,34,13915.025588235294,2595.13,43152.13,452536575.66000015,79.5,0.08,,0
Levy Docks Brennan Ave,472171.0,27,17487.814814814814,7171.0,27000.0,453008746.66000015,79.6,0.08,,0
Mieco Inc.,467887.63,66,7089.206515151515,2500.0,41765.0,453476634.29000014,79.7,0.08,,0
Sol Petroleum Usvi Ltd.,466436.26999999996,27,17275.417407407407,3113.0,38530.06,453943070.5600001,79.8,0.08,,0
Aldarra Overseas Group Inc.,465072.7,1,465072.7,465072.7,465072.7,454408143.2600001,79.8,0.08,,0
Petrochina International,464404.0,8,58050.5,23572.0,136296.0,454872547.2600001,79.9,0.08,,0
Argos Puerto Rico,461180.0,32,14411.875,2755.0,17748.0,455333727.2600001,80.0,0.08,,0
Puerto Rico Steel Products Corp.,459340.0,2,229670.0,54800.0,404540.0,455793067.2600001,80.1,0.08,,0
Scb Minerals Llc,451917.96,17,26583.409411764707,4973.41,48900.0,456244985.2200001,80.2,0.08,,0
Steel Dynamics Columbus Llc,444398.85,21,21161.85,2754.0,51000.0,456689384.0700001,80.3,0.08,,0
Edward C Levy Co.,440327.16,30,14677.571999999998,3030.0,33000.0,457129711.23000014,80.3,0.08,,0
Ngb Express Lines S.A.P.I De C.V.,439822.08,14,31415.86285714286,9826.28,45531.0,457569533.3100001,80.4,0.08,,0
Wind Turbine And Energy Cables Corp.,437698.68,5,87539.736,2702.0,315150.02,458007231.9900001,80.5,0.08,,0
