Party_Name,Total_Tons,Record_Count,Avg_Tons
Bp Oil International Ltd.,803565.03,17,47268.53117647059
Statoil Brasil Oleo E Gas Ltda,803486.0,11,73044.18181818182
Geogas Trading Sa,800840.0,107,7484.485981308411
Perstorp Oxo Ab,796296.0,2,398148.0
Formosa Ha Tinh Steel,788462.75,22,35839.21590909091
Nnpc Suppliers To Nnpc Trading Sa,784088.66,15,52272.577333333335
Qatar Chemical And Petrochemical,780026.75,17,45883.92647058824
Tengizchevroil,775545.2,19,40818.16842105263
Posco,773818.09,78,9920.744743589743
Frontera Energy Colombia Corp.,752134.64,11,68375.87636363636
North Coast Commodities Dmcc,728290.0,17,42840.58823529412
Global Trade Operations,708705.01,4,177176.2525
Sterling Oil Exploration Energy,701941.0,29,24204.862068965518
Mobil Producing Nigeria Unlimited,701278.56,15,46751.904
Socar Trading North America,698880.9299999999,9,77653.43666666666
Puraglobe Germany Gmb H,697746.0,2,348873.0
Glencore Energy Uk Ltd.,693434.46,17,40790.26235294117
Qatar Shell Gtl Ltd.,689224.97,62,11116.531774193549
Cia Espanola De Petroleos Sa,679646.78,46,14774.93
Tupras Turkey Petroleum Refineries,672058.03,41,16391.659268292682
