HS,HS Code,Break-Bulk,Group,Cargo Grouop,Cargo,Keywords,Exception,Note,Title,Description,Count,Tons
24,2401,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Unmanufactured tobacco (whether or not threshed or similarly processed); tobacco refuse:,Unmanufactured tobacco (whether or not threshed or similarly processed); tobacco refuse:,2,6
23,2309,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Preparations of a kind used in animal feeding:,Preparations of a kind used in animal feeding:,10,653976
23,2307,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Wine lees,argol,2,3554
23,2304,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Oil-cake and other solid residues,"whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",11,178079
23,2303,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets:","Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets:",11,187956
23,2302,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Bran, sharps (middlings) and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants:","Bran, sharps (middlings) and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants:",1,294
23,2301,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves (cracklings):","Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves (cracklings):",16,407418
22,2209,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Vinegar and substitutes for vinegar obtained from acetic acid,Vinegar and substitutes for vinegar obtained from acetic acid,2,53417
22,2208,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol.; spirits, liqueurs and other spirituous beverages:","Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol.; spirits, liqueurs and other spirituous beverages:",6,6155
22,2207,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80 percent vol. or higher; ethyl alcohol and other spirits, denatured, of any strength:","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 percent vol. or higher; ethyl alcohol and other spirits, denatured, of any strength:",1,0
22,2206,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Fermented beverages, n.e.c. in chapter 22","e.g. cider, perry, mead, sake",1,875
22,2204,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009:","Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009:",9,295741
22,2203,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Beer made from malt,Beer made from malt,6,25125
22,2202,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009:","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009:",2,1
22,2201,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored; ice and snow:","Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored; ice and snow:",6,5068
21,2106,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Food preparations not elsewhere specified or included:,Food preparations not elsewhere specified or included:,1,392
21,2103,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,Sauces and preparations therefore; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard:,Sauces and preparations therefore; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard:,8,468
20,2009,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter:","Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter:",1,121309
20,2008,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included:","Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included:",1,168136
20,2006,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar","drained, glace or crystallised",6,47135
20,2005,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006:","Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006:",2,8818
20,2004,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006:","Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006:",1,26926
20,2003,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid:","Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid:",1,61
20,2001,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid:","Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid:",2,44
19,1905,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty capsules of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products:","Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty capsules of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products:",3,1124
19,1902,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared:","Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared:",2,13902
18,1806,Break-Bulk,Agricultural Products,Cocoa,Cocoa,Cocoa,,,Chocolate and other food preparations containing cocoa:,Chocolate and other food preparations containing cocoa:,1,7611
18,1805,Break-Bulk,Agricultural Products,Cocoa,Cocoa,Cocoa,,,Cocoa,"butter, fat and oil",1,209
18,1804,Break-Bulk,Agricultural Products,Cocoa,Cocoa,Cocoa,,,Cocoa,"butter, fat and oil",1,107
18,1803,Break-Bulk,Agricultural Products,Cocoa,Cocoa,Cocoa,,,"Cocoa paste, whether or not defatted:","Cocoa paste, whether or not defatted:",1,9
17,1704,Bulk,Agricultural Products,Sugar,Sugar,"Sugar, Raw Cane",,,"Sugar confectionery (including white chocolate), not containing cocoa:","Sugar confectionery (including white chocolate), not containing cocoa:",2,53
