HS2,HS4,Group,Commodity,Cargo,Cargo_Detail,Keywords_Str,Min Tons,Max Tons,Note,HS Title,HS Decription,HS_Code,Port of Loading (F),Shipper,Count,Tons
72,7210,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, DIPPED, GALVANNEALED, GALVANIZED, STEEL",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:",Classified: 7210.49,"Altamira, Mexico",Posco Mexico S.A. De C.V.,1,1
72,7210,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, DIPPED, GALVANIZED, STEEL, SHEET",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:",Classified: 7210.70,"Altamira, Mexico",Posco Mexico S.A. De C.V.,1,1
72,7210,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, DIPPED, GALVANIZED, STEEL, SHEET",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:",Classified: 7210.70,"All Other Republic Of South Africa Ports, South Africa",Duferco Steel Processing (Pty) ) ) Ltd.,1,1
72,7210,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, DIPPED, GALVANIZED, STEEL, SHEET",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:",Classified: 7210.70,"All Other Republic Of South Africa Ports, South Africa",,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Black Sea and Sea of Marmara Port, Turkey",Nuh Cimento Sanayi A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Black Sea and Sea of Marmara Port, Turkey",Akcansa Cimento Sanayi T.A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Black Sea and Sea of Marmara Port, Turkey",Cimsa Cimento Sanayi Ve Ticaret A.S,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Black Sea and Sea of Marmara Port, Turkey",Medcem Global Pazarlama A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Medcem Global Pazarlama A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Sonmez Cimento Api Ve Madencilik,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Akcansa Cimento Sanayi T.A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Adocim Cimento Beton San.Ve Tic.A.S,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Nuh Cimento Sanayi A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Oyak Cimento Fabrikalari Anonim Sir,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Turkey Mediterranean Region Ports, Turkey",Crc Rota Sanayi Ve Dis Tic Ltd. Sti.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Viet Nam Ports, Vietnam",Vissai Ninh Binh Jsc,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Viet Nam Ports, Vietnam",Taiheiyo Cement Corporation,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Viet Nam Ports, Vietnam",,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Viet Nam Ports, Vietnam","Long Son Co., Ltd.",1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Arzew, Algeria",,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Augusta, Italy",Buzzi Unicem Sp A,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Bejaia, Algeria",Lafarge Ciment Msila Sp A,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Bukpyung, South Korea",Taiheiyo Cement Corporation,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Cam Pha, Vietnam","The Vissai Imex Co., Ltd. Teglobal Transit",1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Cartagena, Colombia",Zona Franca Argos S.A.S.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"Damietta, Egypt",Royal El Minya Cement Co.,1,1
