IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
1031795,ZONDA,,Tanker-Handy,18647,141.57,0,12.7,12118,6070,0,23.1,9.5,Ship Results (24).xlsx
1031848,SENTOSA ISLAND,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82656,0,0,20.15,43672,27738,98090,0,14.579,Ship Results (6).xlsx
1031850,HENG LI 32,,Bulk Carrier-Supra/Ultramax,60514,0,0,16.3,33230,18608,71403,0,11.85,Ship Results (13).xlsx
1031886,HANG HAI XING HUA,,"General Cargo 5,000-9,999 dwt",9084,0,0,6.66,5233,2930,0,0,0,Ship Results (42).xlsx
1031965,ANTARA 02,,,600,0,0,2.7,371,112,0,0,2.3,Ship Results (51).xlsx
1031991,FALCON ICHIBAN,SHI 40BC,Bulk Carrier-Large Handy,39513,174.69,0,14.8,25069,12429,49878,0,10.224,Ship Results (2).xlsx
1032000,FALCON KIZUNA,SHI 40BC,Bulk Carrier-Large Handy,39544,174.69,0,14.8,25069,12429,49878,0,10.224,Ship Results (2).xlsx
1032048,SEACON DUBAI,High Bulk 40E,Bulk Carrier-Handymax,40391,0,0,14.8,24441,13003,50509,0,10.37,Ship Results (1).xlsx
1032050,SEACON SEATTLE,High Bulk 40E,Bulk Carrier-Handymax,40447,0,0,14.8,24441,13003,50500,0,10.392,Ship Results (1).xlsx
1032165,HAI XIN GONG 8,,"General Cargo <=4,999 dwt",1350,56.84,0,14.18,1017,355,1000,0,8.7,Ship Results (43).xlsx
1032232,LAN HAI CHANG AN,,Containership-Feedermax,37450,0,0,14.95,23875,12795,0,0,10.4,Ship Results (45).xlsx
1032268,SG AQUAMARINE,,Bulk Carrier-Capesize,180643,286.63,45.44,24.9,96443,58183,195308,0,18.323,Ship Results.xlsx
1032309,BIN ZHOU 169,,,2800,0,0,5.6,2242,1255,2000,0,0,Ship Results (39).xlsx
1032373,ROYAL 39,,"General Cargo 5,000-9,999 dwt",5200,87.47,0,7.6,2999,1975,5000,0,6.1,Ship Results (42).xlsx
1032426,CHIQUITA HORIZON,SDARI SL1800,Containership-Regional Feeder,24410,0,0,14.5,18761,8268,0,0,9.7,Ship Results (45).xlsx
1032438,CHIQUITA FARMER,SDARI SL1800,Containership-Regional Feeder,24404,0,0,14.5,18761,8028,0,0,9.85,Ship Results (45).xlsx
1032440,XIANG FAN,,Bulk Carrier-Small Handy,14470,0,0,10.25,8396,4701,10000,0,7.8,Ship Results (9).xlsx
1032452,ERASMUS EFFORT,Kyokuyo 1100,Containership-Regional Feeder,11817,133.286,22.54,11.4,9562,4523,0,0,8.2,Ship Results (46).xlsx
1032488,YUN XIANG 56,,"Tanker-<=4,999dwt",3378,0,0,7.25,2927,1639,0,0,5.05,Ship Results (28).xlsx
1032505,GOLDEN CONCORD,,"General Cargo 5,000-9,999 dwt",8173,108.9,0,8.6,5128,3022,0,0,6.5,Ship Results (42).xlsx
1032517,HONG LI CHANG JIU,,Containership-Regional Feeder,10005,0,0,11.4,11527,5394,0,0,8.2,Ship Results (46).xlsx
1032529,TAI AN,,"Tanker-5,000-7,499dwt",7000,0,0,9,4998,2289,0,0,6.5,Ship Results (27).xlsx
1032567,BHIMA GIRI NUSA,,,0,0,0,2.45,281,85,0,0,0,Ship Results (51).xlsx
1032610,FRED,,,382,0,0,6,496,148,0,0,0,Ship Results (58).xlsx
1032622,JOSEPHINE,,,382,0,0,6,496,148,0,0,0,Ship Results (58).xlsx
1032634,MOOSE,,,382,0,0,6,496,148,0,0,0,Ship Results (58).xlsx
1032646,BEAR,,,374,0,0,6,496,148,0,0,0,Ship Results (58).xlsx
1032672,JOY GLORY,,"Tanker-<=4,999dwt",3800,0,0,6.9,2515,1071,0,0,5.385,Ship Results (28).xlsx
1032737,APOLLO HINA,,"General Cargo 10,000-14,999dwt",13554,114.18,0,14.05,9943,4523,19550,0,9.177,Ship Results (41).xlsx
1032945,HERCULES GALAXY,,"Tanker-7,500-9,999dwt",7990,0,0,9.3,4903,2465,0,17.5,7.1,Ship Results (26).xlsx
1032957,MARINE AZURE,,"Tanker-7,500-9,999dwt",7990,0,0,9.3,4903,2465,0,17.5,7.12,Ship Results (26).xlsx
1032969,MARINE BLUE,,"Tanker-7,500-9,999dwt",7990,0,0,9.3,4903,2465,0,17.5,7.06,Ship Results (26).xlsx
1032995,PGMC 6,,,2943,0,0,4.5,1765,529,0,0,3.3,Ship Results (39).xlsx
1033004,PGMC 7,,,2940,0,0,4.5,1765,529,0,0,3.3,Ship Results (39).xlsx
1033016,PGMC 8,,,2940,0,0,4.5,1765,529,0,0,3.3,Ship Results (39).xlsx
1033054,STENA FUTURA,Stena NewMax,"Ro-ro cargo 2,000-2,999 LM",6795,144.3,0,7.965,20835,6251,0,0,5.4,Ship Results (51).xlsx
1033066,MENEKSE-II,,,352,0,0,3.3,196,135,0,0,0,Ship Results (41)tanker.xlsx
1033107,VIET THUAN 30-05,,"General Cargo =>30,000dwt",30679,0,29.972,12.5,19460,9047,36282,0,8.8,Ship Results (41).xlsx
1033224,ALNAS ENERGI BAROKAH,,"Tanker-<=4,999dwt",384,0,0,2.1,192,73,0,0,0,Ship Results (28).xlsx
1033236,YUN TONG HAI,Crown 63 Plus,Bulk Carrier-Supra/Ultramax,64708,0,0,18.8,36216,21651,78865,0,13.5,Ship Results (13).xlsx
1033262,PREMIER BAHARI,,,12000,0,0,6.6,5633,1690,0,0,5,Ship Results (41).xlsx
1033298,ALPER 1,,"Bulk Carrier-5,000-7,499dwt",7499,0,0,6.5,5439,3049,10000,0,4.7,Ship Results (15).xlsx
1033523,NORSE ZEALAND,SHI 40BC,"General Cargo =>30,000dwt",39545,174.69,0,14.8,25083,12429,49878,0,10.224,Ship Results (41).xlsx
1033535,CANVASBACK,SHI 40BC,Bulk Carrier-Large Handy,39557,174.69,0,14.8,25083,12429,49878,0,10.224,Ship Results (2).xlsx
1033597,XIN HE SHENG 8,,"General Cargo 5,000-9,999 dwt",5158,0,0,7.4,3269,1831,6100,0,5.9,Ship Results (42).xlsx
1033602,HUA CHUANG 66,,Containership-Regional Feeder,29165,0,0,14.5,19731,10378,0,0,10.3,Ship Results (45).xlsx
1033614,GUO SHUN 28,,"General Cargo 15,000-19,999dwt",15819,0,0,11.5,9977,5666,20754,0,8.2,Ship Results (41).xlsx
1033640,MAYABONG,,"Tanker-<=4,999dwt",2009,0,0,5,1361,513,0,0,4,Ship Results (28).xlsx
1033664,ORIENT POINT,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82011,225.52,32.3,20.35,44912,27228,98670,0,14.5,Ship Results (6).xlsx
1033676,TOWER POINT,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82050,225.45,32.3,20.35,44912,27228,98670,0,14.5,Ship Results (6).xlsx
1033688,WESER POINT,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82050,225.5,32.3,20.35,44912,27228,98670,0,14.5,Ship Results (6).xlsx
1033705,PATHWAY,,Tanker-Suezmax,156152,0,48.03,23.2,84677,52220,0,121.2,17.15,Ship Results (18).xlsx
1033731,SNIGDHA-1,,"General Cargo <=4,999 dwt",3200,0,0,5.8,1881,1088,0,0,0,Ship Results (43).xlsx
1033767,SINAR PAJAJARAN,,Containership-Small Feeder,7066,0,0,9,7977,2648,0,0,5,Ship Results (46).xlsx
1033779,SINAR PANGANDARAN,,Containership-Small Feeder,7084,0,0,9,7977,2648,0,0,5,Ship Results (46).xlsx
1033781,CAI HONG DAO 8,,"Tanker-7,500-9,999dwt",8538,0,0,10.4,6398,2725,0,0,7.45,Ship Results (26).xlsx
1033808,SAMOTHRAKI,,Tanker-LR2,113532,245.42,0,21.5,63519,35481,0,0,15.2,Ship Results (22).xlsx
1033822,MERCY,,"General Cargo 5,000-9,999 dwt",9004,0,0,7.15,4995,2607,10000,0,5.3,Ship Results (42).xlsx
1033872,WAN XIANG 178,,,1733,73.09,0,3.8,1393,418,0,0,2.4,Ship Results (39).xlsx
1033884,ZHOU TONG 21,,"Tanker-<=4,999dwt",4499,0,0,8.3,4010,2245,0,0,5.9,Ship Results (28).xlsx
1033913,TAI YANG 168,,,1321,0,0,3.45,1059,593,0,0,2.3,Ship Results (43).xlsx
1034008,PACIFIC TAURUS,,Tanker-MR2,49999,0,0,18.3,28640,14722,0,0,13.21,Ship Results (20).xlsx
1034022,GREAT WALL 16,,,2392,0,0,4.3,1978,1106,0,0,3,Ship Results (43).xlsx
1034034,GREAT WALL 17,,,2373,0,0,4.3,1978,1106,0,0,3,Ship Results (43).xlsx
1034060,CALISHA,,"RoPax-5,000-9,999gt",2764,0,0,6.75,9350,5049,0,0,4.4,Ship Results (52).xlsx
1034113,BENUA 555,,"General Cargo 5,000-9,999 dwt",5587,96.3,0,7,2996,1677,0,0,5.7,Ship Results (42).xlsx
1034187,SILVERSTONE,,Tanker-LR2,113720,244.088,44.03,21.2,62716,35157,0,0,15,Ship Results (22).xlsx
1034199,BRANDS HATCH,,Tanker-LR2,113006,244.066,44.03,21.2,62730,35177,0,0,15.018,Ship Results (22).xlsx
1034228,GUO JIA NENG YUAN 822,,Bulk Carrier-Post Panamax,85541,0,0,20.15,48785,27811,106000,0,14,Ship Results (10).xlsx
1034230,SUNG FATT 37,,,0,0,0,3,498,149,0,0,0,Ship Results (51).xlsx
1034254,OLYMPIA,,"Tanker-<=4,999dwt",914,0,0,3.5,523,216,0,0,2.8,Ship Results (28).xlsx
1034280,ASAGAO,,Bulk Carrier-Small Handy,19542,136.13,23.036,14,13093,5662,25028,0,9.32,Ship Results (9).xlsx
1034292,EMERALD 2,,"Tanker-<=4,999dwt",310,38.97,0,2.5,336,100,0,0,1.6,Ship Results (28).xlsx
1034319,AMY,BBC-12K-500B,"General Cargo 10,000-14,999dwt",12207,0,22.834,11.55,11615,4396,17600,0,8.18,Ship Results (41).xlsx
1034321,ALICIA,,"General Cargo 10,000-14,999dwt",12224,0,0,11.59,11615,4396,17600,0,8.18,Ship Results (41).xlsx
1034333,ARETHA,,"General Cargo 10,000-14,999dwt",12246,140.56,0,11.55,11615,4396,17612,0,8.18,Ship Results (41).xlsx
1034345,FLORES STRAIT,,Containership-Small Feeder,10483,0,0,9.82,8057,4512,0,0,7.3,Ship Results (46).xlsx
1034357,SVEND,,"General Cargo 10,000-14,999dwt",12196,0,22.834,11.55,11615,4396,17600,0,8.18,Ship Results (41).xlsx
1034383,CSPC HORIZON,,"General Cargo =>30,000dwt",85140,0,0,21.05,54832,24728,96127,0,14.5,Ship Results (41).xlsx
1034395,CSPC SKYLINE,,"General Cargo =>30,000dwt",85189,0,0,21.05,54832,24728,0,0,14.5,Ship Results (41).xlsx
1034400,SKY PEACE,SDARI 2700,Containership-Feedermax,35276,185.42,32.244,17.1,27154,11952,0,0,11.515,Ship Results (45).xlsx
1034412,SKY PRIDE,SDARI 2700,Containership-Feedermax,35292,185.42,32.244,17.1,27154,11952,0,0,11.515,Ship Results (45).xlsx
1034450,BRIGHT KING,HI-MAX-WIDE,"General Cargo 10,000-14,999dwt",13644,113.18,0,14.1,9956,4333,19551,0,9.115,Ship Results (41).xlsx
1034474,SUN LIBERTY,HI-MAX-WIDE,"General Cargo 10,000-14,999dwt",13655,113.18,0,14.1,9956,4333,19554,0,9.115,Ship Results (41).xlsx
1034486,ASIAN BRIGHT,HI-MAX-WIDE,"General Cargo 10,000-14,999dwt",13598,113.18,0,14.1,9970,4205,18937,0,9.115,Ship Results (41).xlsx
1034498,OCEAN ECHO,HI-MAX-WIDE,"General Cargo 10,000-14,999dwt",13646,113.18,0,14.1,9956,4333,19554,0,9.115,Ship Results (41).xlsx
1034539,XINGFA 56,,,5000,93.6,0,5.58,2992,1657,0,0,0,Ship Results (42).xlsx
1034541,RONG CHUANG 1,,,5083,0,0,5.58,2995,1677,0,0,4.2,Ship Results (42).xlsx
1034553,RONG CHUANG 2,,,5083,0,0,5.58,2995,1677,0,0,4.2,Ship Results (42).xlsx
1034723,KAI QIANG HAI SHEN,,,4000,98.71,0,5.43,2981,1669,0,0,3.9,Ship Results (43).xlsx
1034735,LARGO AURORA,,Tanker-MR2,49805,0,0,18.75,29896,14298,0,53.8,13.3,Ship Results (20).xlsx
1034747,LARGO ATOM,,Tanker-MR2,49740,0,0,18.75,29896,14298,0,0,13.3,Ship Results (20).xlsx
1034759,WAETUO 07,,"Tanker-<=4,999dwt",841,0,0,3.66,601,202,0,0,2.75,Ship Results (28).xlsx
1034773,PLUTUS 1,,,4076,0,0,4.98,2619,1466,0,0,3.68,Ship Results (43).xlsx
1034785,LCT JOHANNAH 15,,,4974,0,0,5.2,2941,1646,0,0,3.93,Ship Results (43).xlsx
1034797,TORTUGA,,,434,0,0,5.94,499,149,0,0,4.26,Ship Results (58).xlsx
1034931,ORIENTAL NEPTUNE,,Bulk Carrier-Small Handy,19842,0,0,12.4,13179,6009,24000,0,8.646,Ship Results (9).xlsx
1034943,ORIENTAL PEACE,,Bulk Carrier-Small Handy,19827,136.8,0,12.4,13179,6009,24160,0,8.646,Ship Results (9).xlsx
1034955,SUNNY ORCHID,,Containership-Regional Feeder,12317,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
1034979,SUNNY KALMIA,,Containership-Regional Feeder,12311,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
1034981,SL KANLAON,,"General Cargo 15,000-19,999dwt",17692,0,0,7.6,8638,4837,0,0,5.3,Ship Results (41).xlsx
1034993,GENBU,,Containership-Small Feeder,8597,128.18,0,12.35,5689,0,0,0,7.013,Ship Results (46).xlsx
1035002,SOUMEI,,Ro-ro cargo <=499 LM,2150,89.15,0,13.45,2502,0,0,0,4.511,Ship Results (51).xlsx
1035052,CAPE BILBAO,,Tanker-MR2,50607,0,0,19.1,30038,13754,0,53.3,13.3,Ship Results (20).xlsx
1035090,VIET THUAN 095-01,,"General Cargo 5,000-9,999 dwt",9500,0,0,9.6,5775,4042,0,0,0,Ship Results (42).xlsx
1035117,YUN XIANG 17,,,3374,0,0,7.25,2927,1639,0,0,5.05,Ship Results (41)tanker.xlsx
1035155,MAY LOUISE,,,226,0,0,5,413,123,0,0,4,Ship Results (58).xlsx
1035234,YI HANG JIN YUN 1,,,8650,0,0,7.5,6139,3447,0,0,5.6,Ship Results (42).xlsx
1035325,QING HAI YOU 67,,"Tanker-<=4,999dwt",4840,0,0,7.6,4087,0,0,0,5.55,Ship Results (28).xlsx
1035349,NANG GANG 102,,"General Cargo 10,000-14,999dwt",10959,0,0,10.3,5000,0,10000,0,6.95,Ship Results (41).xlsx
1035351,KANG FA 118,,"Tanker-<=4,999dwt",4499,0,0,6.8,2998,0,0,0,5.6,Ship Results (28).xlsx
1035404,ROTRA FUTURA,,,16889,0,0,11.3,13154,4000,0,0,7.6,Ship Results (54).xlsx
1035416,ROTRA HORIZON,,,16889,0,0,11.3,13154,3946,0,0,7.3,Ship Results (54).xlsx
1035430,YUAN XIANG YOU 79,,"Tanker-<=4,999dwt",4479,0,0,6.8,2996,1667,0,0,5.7,Ship Results (28).xlsx
1035442,XIN AN HONG 28,,Bulk Carrier-Large Handy,34106,0,0,14.2,20791,0,44385,0,10,Ship Results (2).xlsx
1035454,BAO AN CHENG 168,,Containership-Regional Feeder,31561,0,0,14,19785,0,0,0,10.1,Ship Results (45).xlsx
1035507,ELIZAVETA V,,"General Cargo 5,000-9,999 dwt",8304,140.33,0,6,6786,4041,13475,0,4.6,Ship Results (42).xlsx
1035519,PRASKOVIA V,,"General Cargo 5,000-9,999 dwt",8304,140.33,0,6,6786,4041,13475,0,4.6,Ship Results (42).xlsx
1035521,SEA TARGET,,,1949,64.41,0,4.5,1395,419,0,0,3.462,Ship Results (51).xlsx
1035569,AMAN,,,0,0,0,2.85,428,128,0,0,2.2,Ship Results (51).xlsx
1035571,HUA HE 6,,"Tanker-5,000-7,499dwt",7180,0,0,10,6241,0,0,0,6.45,Ship Results (27).xlsx
1035662,HOEI MARU NO. 7,,,1750,0,0,0,509,0,2000,0,0,Ship Results (39).xlsx
1035686,TOSHIN NO. 12,,,2300,0,0,8.15,749,0,2000,0,4.81,Ship Results (39).xlsx
1035715,NAGATO MARU NO. 38,,,1700,0,0,0,499,0,0,0,4.3,Ship Results (39).xlsx
1035727,EIFUKU MARU NO. 18,,,1700,0,0,0,498,0,0,0,0,Ship Results (39).xlsx
1035959,MERSEA ISLAND,Imabari 40,Bulk Carrier-Handymax,40058,176.56,0,15,25240,12883,50208,0,10.483,Ship Results (1).xlsx
1035961,BELLE NATURE,Imabari 40,Bulk Carrier-Handymax,40058,176.56,0,15,25240,12883,50208,0,10.483,Ship Results (1).xlsx
1035973,NORSE OGIJIMA,Imabari 40,Bulk Carrier-Handymax,40262,176.56,0,15,25240,12883,50207,0,10.483,Ship Results (1).xlsx
1035985,NORSE OZUKUMA,Imabari 40,Bulk Carrier-Handymax,40262,176.56,0,15,25240,12883,50208,0,10.483,Ship Results (1).xlsx
1035997,FENJA BULKER,Imabari 40,Bulk Carrier-Handymax,40302,175.9,0,15,25003,12883,50207,0,10.483,Ship Results (1).xlsx
1036006,ANGEL ISLAND,Imabari 40,Bulk Carrier-Handymax,40112,176.56,0,15,25006,12883,50207,0,10.483,Ship Results (1).xlsx
1036018,ULTRA OL,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63722,195.38,0,19.3,36140,21173,81198,0,13.526,Ship Results (13).xlsx
1036020,YAMI BENEFIT,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63697,195.38,0,19.3,36140,21173,81198,0,13.526,Ship Results (13).xlsx
1036032,THEODORE VENIAMIS,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63709,195.38,0,19.3,36139,21173,81198,0,13.526,Ship Results (13).xlsx
1036044,AFRICAN HAMMERKOP,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63526,195.38,0,19.3,36278,21173,81198,0,13.526,Ship Results (13).xlsx
1036056,NORSE EXPANSION,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63526,195.38,0,19.3,36278,21173,81198,0,13.526,Ship Results (13).xlsx
1036068,HANG HAI XING CHEN,,"General Cargo 5,000-9,999 dwt",6502,0,0,6.3,4395,2461,7000,0,4.6,Ship Results (42).xlsx
1036070,JHONI 56,,,0,0,0,3,378,114,0,0,0,Ship Results (51).xlsx
1036109,MAERSK NAMSOS,,Containership-Feedermax,28578,166.14,0,16.8,25723,7777,0,0,10.016,Ship Results (45).xlsx
1036111,ZAKI DREAM,,"Tanker-5,000-7,499dwt",6418,0,0,8.8,4557,2410,0,0,6.2,Ship Results (27).xlsx
1036123,ULTRA SAN PEDRO,Imabari 40,Bulk Carrier-Handymax,40636,176.56,0,15,24995,12883,49000,0,10.5,Ship Results (1).xlsx
1036343,SL ULAP,,"General Cargo 15,000-19,999dwt",17639,0,0,7.6,8342,4671,0,0,5.4,Ship Results (41).xlsx
1036393,MA DU SAN 2,,"General Cargo <=4,999 dwt",4999,0,0,6.95,2978,1741,6000,0,5.4,Ship Results (43).xlsx
1036422,KTP 3,,"Tanker-<=4,999dwt",3124,0,0,5.4,1822,961,0,0,4.4,Ship Results (28).xlsx
1036434,KTP 4,,"Tanker-<=4,999dwt",3092,0,0,5.4,1648,910,0,0,4.3,Ship Results (28).xlsx
1036458,DOLPHIN 4,,"Tanker-<=4,999dwt",3200,0,0,6.3,1974,1105,0,0,5.3,Ship Results (28).xlsx
1036460,JILONG 89,,,4000,93.56,0,5.1,2439,731,0,0,4,Ship Results (43).xlsx
1036472,XIANG YI 7,,"General Cargo 10,000-14,999dwt",11598,0,0,12,9411,4672,14000,0,8.6,Ship Results (41).xlsx
1036501,NSC BINGO,KHI Supramax,Bulk Carrier-Supra/Ultramax,64090,0,32.29,19.4,36452,21011,81432,0,13.524,Ship Results (13).xlsx
1036513,QUEEN RIVER,KHI Supramax,Bulk Carrier-Supra/Ultramax,64183,0,32.29,19.4,36412,21011,81431,0,13.525,Ship Results (13).xlsx
1036525,UM KURE,KHI Supramax,Bulk Carrier-Supra/Ultramax,64133,0,32.29,19.4,36452,21011,81432,0,13.525,Ship Results (13).xlsx
1036549,RISOLUTO,,Bulk Carrier-Pmax/Kamsarmax,82718,0,0,20.2,44139,27787,98297,0,14.574,Ship Results (6).xlsx
1036587,MANOLING 5,,,2500,0,0,3.68,1503,841,0,0,2.7,Ship Results (43).xlsx
1036599,TAMEDA 5,,"Tanker-<=4,999dwt",1539,0,0,4,855,454,0,0,2,Ship Results (28).xlsx
1036642,SANDUGA,,"General Cargo 5,000-9,999 dwt",7312,0,0,6.3,4398,1705,7000,0,4.6,Ship Results (42).xlsx
1036654,LAPHAPHAT,,"Tanker-<=4,999dwt",2342,0,12.82,5.7,1529,766,0,0,4.7,Ship Results (28).xlsx
1036666,MONTE MARIA II,,,5083,0,0,5.58,2994,1676,0,0,4.2,Ship Results (42).xlsx
1036733,LCT ENGRACIO 1,,,3581,0,0,5.1,2334,1307,0,0,3.8,Ship Results (43).xlsx
1036769,E HUANG GANG HUO 0627,,"General Cargo <=4,999 dwt",1000,0,0,2.35,494,148,0,0,0,Ship Results (43).xlsx
1036800,DAISHIN MARU NO. 15,,"General Cargo 5,000-9,999 dwt",5937,96.71,0,9.5,3106,1506,5628,0,6.333,Ship Results (42).xlsx
1036812,CENTURY STAR,,,0,27.65,0,3.69,229,68,0,0,2.03,Ship Results (61).xlsx
1036941,DIAMOND,,"General Cargo <=4,999 dwt",2685,77.076,0,5.3,1930,866,0,0,3.8,Ship Results (43).xlsx
1036965,BLUE SEA 1,,,3581,0,0,5.1,2334,1307,0,0,3.8,Ship Results (43).xlsx
1036989,SANIA 01,,"Tanker-<=4,999dwt",400,0,0,2.75,279,115,0,0,2.04,Ship Results (28).xlsx
1037048,ATOKOS,,Tanker-VLCC,299985,0,60.04,29.644,157606,106795,0,182.3,21.53,Ship Results (17).xlsx
1037115,LAN HAI HONG YUN,,,27242,0,0,10.6,19397,5819,0,65.2,7.15,Ship Results (41).xlsx
1037153,TAMARACK,,,12500,,0,9,7683,2791,10856,0,6.43,Ship Results (39).xlsx
1037165,CHUNRONG 803,,"General Cargo 5,000-9,999 dwt",8955,119,0,8,6061,2992,10000,0,5.95,Ship Results (42).xlsx
1037177,CHUNRONG 806,,"General Cargo 5,000-9,999 dwt",8865,119,0,8,6051,2992,10000,0,5.95,Ship Results (42).xlsx
1037268,YUAN DA 666,,"General Cargo <=4,999 dwt",1000,65.78,0,3.3,921,515,0,0,2.2,Ship Results (43).xlsx
1037335,QUAN TAI,,,7474,0,0,9.6,5940,2352,0,0,6.6,Ship Results (41)tanker.xlsx
1037452,MING EN 7,,"Reefer-=>8,000dwt",9012,0,0,10.9,8313,4046,0,0,7.9,Ship Results (47).xlsx
1037517,TIANASHUEN,,Tanker-Handy,11012,0,0,10.7,6397,3336,0,0,8.7,Ship Results (24).xlsx
1037529,HT AMOY,,,11802,0,0,7.3,16381,6911,0,0,0,Ship Results (41).xlsx
1037543,SHUN XIN 102,,,9962,0,0,7.2,6521,1956,0,0,5.1,Ship Results (42).xlsx
1037579,SHUN XIN 103,,,10816,0,0,6.8,6108,1832,0,0,5,Ship Results (41).xlsx
1037634,EARTH TWIN,,"General Cargo 10,000-14,999dwt",13530,114.18,0,14.05,9931,4527,19550,0,9.177,Ship Results (41).xlsx
1037658,TALA WEALTH,Kurushima 63BC,Bulk Carrier-Supra/Ultramax,63862,0,0,19.22,36388,21291,81579,0,13.522,Ship Results (13).xlsx
1037684,CHEMROAD KAIA,,Tanker-MR1,35769,167.4,0,17.2,23471,9096,0,0,11.42,Ship Results (21).xlsx
1037696,TROPICAL KAGAYAKI,,"General Cargo 15,000-19,999dwt",17550,124.11,0,16,13057,5217,25383,0,9.916,Ship Results (41).xlsx
1037701,GOLDEN THETIS,,Tanker-Handy,25918,149.07,0,14,15065,8108,0,35.1,10.613,Ship Results (24).xlsx
1037749,ZUIRYU MARU,,,2362,0,0,7.98,749,0,2470,0,4.672,Ship Results (39).xlsx
1037799,GRAND VICTORY 88,,"General Cargo <=4,999 dwt",4957,96.3,0,7,3177,2111,7000,0,5.5,Ship Results (43).xlsx
1037804,ARTEMIS,,,0,0,0,4.29,307,92,0,0,0,Ship Results (58).xlsx
1037828,YA QING HUI ZONG,,,27107,0,0,10.6,19397,5819,0,0,7.15,Ship Results (54).xlsx
1037866,NAHA,,"General Cargo <=4,999 dwt",2500,84.2,0,6.2,1989,1113,3500,0,5,Ship Results (43).xlsx
1037880,TALENT FIONA,,,9935,0,0,7.8,6389,1916,0,0,5.7,Ship Results (42).xlsx
1037892,MIN HUA 9,,"General Cargo 10,000-14,999dwt",12484,0,0,10.3,8205,4459,15887,0,7.6,Ship Results (41).xlsx
1037907,XIANG LONG,,Bulk Carrier-Small Handy,22366,0,0,13,13825,8215,28000,0,9.2,Ship Results (9).xlsx
1037933,IONIC SEMELI,,Tanker-Suezmax,159120,269.27,48.036,23.15,82909,50932,0,120,17.022,Ship Results (18).xlsx
1037957,INTAN DAYA 722,,,6965,0,0,6.7,5498,1650,0,0,5.1,Ship Results (42).xlsx
1038133,SENHO AURORA,,"General Cargo <=4,999 dwt",4027,0,0,7.8,2972,1405,0,0,5.95,Ship Results (43).xlsx
1038248,NADEEN,,"Tanker-<=4,999dwt",3302,0,0,6,2076,1011,0,0,5.2,Ship Results (28).xlsx
1038341,PERSADA 8,,"General Cargo 5,000-9,999 dwt",8000,0,0,7.8,5215,2577,10000,0,5.9,Ship Results (42).xlsx
1038391,JNS SEA,SDARI 40,Bulk Carrier-Handymax,40526,176.88,0,15.2,25171,13740,50515,0,10.95,Ship Results (1).xlsx
1038406,ARIES,,,3500,88.32,0,3.9,2149,644,0,0,3.1,Ship Results (39).xlsx
1038420,DAEIL,,"Tanker-<=4,999dwt",782,39.98,0,3.9,293,189,0,3.8,3.311,Ship Results (28).xlsx
1038432,CHANG YUAN 008,,,8108,0,0,7,4980,2788,0,0,5.1,Ship Results (42).xlsx
1038456,AN RUN DA 6,,Bulk Carrier-Small Handy,16449,141.32,0,11.25,9911,5643,20000,0,8.25,Ship Results (9).xlsx
1038602,ANJI FLOURISHMENT,,"PCC/PCTC => 4,000 cars",24435,0,0,15.4,86996,28066,0,0,10.3,Ship Results (50).xlsx
1038705,STS SPB 1,,Bulk Carrier-Small Handy,23600,136.06,0,9,9516,3950,0,0,6,Ship Results (9).xlsx
1038781,SEACON LIVERPOOL,Tess-42,Bulk Carrier-Handymax,42870,0,0,15.4,26123,13465,52582,0,10.78,Ship Results (1).xlsx
1038793,SEACON MONACO,Tess-42,Bulk Carrier-Handymax,42864,0,0,15.4,26123,13465,52583,0,10.78,Ship Results (1).xlsx
1038808,OCEAN ARIEL,Tess-42,Bulk Carrier-Handymax,42975,0,0,15.4,26123,13465,52582,0,10.78,Ship Results (1).xlsx
1038846,GINA LISA,,,0,0,0,1.828,99,75,0,0,0,Ship Results (61).xlsx
1038858,ASTRA,,"Tanker-<=4,999dwt",4499,0,0,7.1,2970,1563,0,0,6.1,Ship Results (28).xlsx
1038884,ALIAKMON I,,Tanker-VLCC,299992,332.751,0,30,160211,101354,0,182.2,21.442,Ship Results (17).xlsx
1039151,CHENG QING 2,,Bulk Carrier-Large Handy,27000,154,0,14.4,17082,9565,33000,0,10.4,Ship Results (2).xlsx
1039187,NUSANTARA PACIFIC 1,,"General Cargo 5,000-9,999 dwt",8137,0,0,7.5,5190,2650,0,0,5.5,Ship Results (42).xlsx
1039204,BERKAT MAKMUR 8,,"General Cargo 5,000-9,999 dwt",5010,92.62,0,7.4,2978,1724,6800,0,5.85,Ship Results (42).xlsx
