IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
9964833,STARGAZER,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66309,196.19,0,19.15,36684,22520,81638,0,13.827,Ship Results (13).xlsx
9964845,SHARQI,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66316,196.19,0,19.15,36684,22520,81637,0,13.827,Ship Results (13).xlsx
9964857,STAR ISLAND,Tess-64Aeroline,Bulk Carrier-Supra/Ultramax,63592,196.13,32.301,18.6,35630,21466,79019,0,13.33,Ship Results (13).xlsx
9964869,GOLDEN ISLAND,Tess-64Aeroline,Bulk Carrier-Supra/Ultramax,63604,196.13,32.301,18.6,35630,21466,79019,0,13.325,Ship Results (13).xlsx
9964871,NORSE PROGRESS,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66312,196.19,0,19.15,36684,22520,81637,0,13.827,Ship Results (13).xlsx
9964883,CL KIWAMI,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66295,196.19,0,19.15,36684,22520,81500,0,13.827,Ship Results (13).xlsx
9964895,STAR THETIS,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66327,196.19,0,19.15,36684,22520,81637,0,13.827,Ship Results (13).xlsx
9964900,NORSE STRIDE,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66307,196.19,0,19.15,36684,22520,81500,0,13.827,Ship Results (13).xlsx
9964974,PASHA 10,,"Tanker-<=4,999dwt",1750,65.57,0,5,998,457,0,0,4.158,Ship Results (28).xlsx
9965007,HANYU FREESIA,,Tanker-Handy,12615,118.25,0,11.5,8239,4158,0,22.2,8.713,Ship Results (24).xlsx
9965019,VAN HUI,DOLPHIN 64 NEW,Bulk Carrier-Supra/Ultramax,63877,0,32.308,18.9,35846,21188,78300,0,13.5,Ship Results (11).xlsx
9965021,VAN HANNAH,DOLPHIN 64 NEW,Bulk Carrier-Supra/Ultramax,63926,0,32.308,18.9,35846,21199,78300,0,13.5,Ship Results (11).xlsx
9965033,GUANG BO,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82245,0,32.312,20.35,44613,27169,98868,0,14.5,Ship Results (6).xlsx
