Shipper,Consignee,Shipments,Tons,BOL_Count
"Sk Energy Co., Ltd.",Idemitsu Apollo,13,513938.1,13
Dins Pipeline International Ltd.,Pacifica Piling Ltd. Partnership,80,512905.24,80
Petrochina International America,Marathon Petroleum,9,512205.04,9
Titan Cement Company S.A.,Roanoke Cement Co. Llc,13,508112.0,13
Shell International Trading Middle,Naturgy Aprovisionamientos Sa,22,507233.94,22
Tengizchevroil,PBF Energy,12,498232.0,12
Suncor Energy,Marathon Petroleum,23,497295.97000000003,23
Qatar Shell Gtl Ltd.,Pennzoil Quaker State Co. Dba Sopus Products,47,494339.06,47
Pan American Energy Llc,BP,4,493371.35,4
"Nippon Steel Trading Co., Ltd.",Heidelberg Materials Us Cement Llc,11,492175.0,11
Mercedes Benz,Mercedes Benz Usa Llc,656,486716.33,656
"Gmb Korea Industries Co., Ltd.",General Motors Corp.,815,486492.84,815
Sudati,Sherwood Lumber Corp.,41,484232.83,41
Pmi Commercio International S.A. De,Chevron,7,479887.23,7
Rizhao Jinghua New Type Building,Mineral Resource Technolgy,41,476700.43,41
"Sk Energy Co., Ltd. For And On",Idemitsu Apollo,12,475492.66,12
Galaxy Oil Fz Llc,Ubs Switzerland Ag,16,474222.86,16
Compania De Hidrocarburo,Chevron,7,472447.24,7
Shell Brasil Petroleo Ltda,Marathon Petroleum,9,466681.74,9
PAR Hawaii Refining,PAR Hawaii Refining,14,466529.53,14
Titan Cement Company S.A.,Titan Florida Llc,12,464721.79,12
Al Ezz Dekheila Steel Co.,Puerto Rico Steel Products Corp.,2,459340.0,2
Reliance Industries,Reliance International Ltd.,19,451771.9,19
Vissai Ninh Binh Jsc,Cemex,36,450399.0,36
Volvo Car Corp.,Volvo Car Usa Llc,690,449251.04,690
Agroindustrias Del Balsas Sa De Cv,Ngb Express Lines S.A.P.I De C.V.,14,439822.08,14
Jaguar Land Rover Ltd.,Jaguar Land Rover North America,959,438210.06,959
Glencore Energy Uk Ltd.,Valero,8,433580.45999999996,8
Heritage Petroleum,PBF Energy,11,430931.39,11
Vergo Enerji,Wind Turbine And Energy Cables Corp.,2,428000.02,2
Posco,Posco Mexico S.A. De C.V.,31,427875.64999999997,31
Oyak Cimento Fabrikalari Anonim Sir,Lehigh White Cement Co. Llc,13,426944.0,13
Abu Dhabi National Oil Company,Adnoc Trading Ltd.,14,426136.0,14
Samarco Mineracao S A,ArcelorMittal,4,423739.0,4
Zona Franca Argos S.A.S.,Argos Puerto Rico,55,419198.79,55
Suncor Energy,Valero,9,417626.3,9
Cimsa Cimento Sanayi Ve Ticaret A.S,Cimsa Americas Cement,39,416203.58,39
"Five Steel (Tianjin) Tech Co., Ltd.",Cascadia Metals,1,414857.98,1
Heidelberg Materials,Heidelberg Materials,91,411200.0,91
Citgo,Citgo,10,405051.54,10
Seah Steel Corporation,Pusan Pipe America Inc.,2540,401490.08,2540
"Emprada Mines And Minerals Pvt., Ltd.",Emprade Mines & Min,32,400185.0,32
Abu Dhabi National Oil Company,Shell International Eastern Trading,12,399164.0,12
Nuh Cimento Sanayi A.S.,Hollingshead Cement Llc,9,398346.0,9
Equinor Asa,Equinor Marketing And Trading Us,6,398315.0,6
Sonatrach,Chevron,5,398198.9,5
Aramco Americas,Valero,6,397866.82,6
Vissai Ninh Binh Jsc,Nevada Cement Co.,12,397345.0,12
Lafarge Na Meldrum Bay,Verplank's Trucking,17,396400.0,17
Ampol Us Trading Llc,Ampol Us Trading Llc,25,395612.7,25
Mosaic Global Sales Llc,Mosaic,7,395145.45,7
Grupo Minero Del Mar De Cortes,United States Gypsum Co.,7,394000.0,7
Jodco Onshore Ltd.,Inpex Energy Trading Ltd.,16,393762.0,16
Gs Caltex Corporation,Chevron,20,392740.02,20
Hartree Partners (Uk) Ltd.,Hartree Partners Lp,14,392437.58,14
Ontario Trap Rock,Levy Docks Brennan Ave,24,391171.0,24
Shell,Shell,7,387997.89,7
