Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Confidence_Score,Known_Shipments,Inferable_Records,Inferable_Tonnage
Celanese,"Coatzacoalcos, Mexico","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",27,2710,577.2,54,4,94127.46
Valero,"Khor Al Zubair, Iraq","Port of New Orleans, New Orleans, Louisiana",27,2710,1071.5,104,1,91400.0
Citgo,"Pointe A Pierre, Trinidad and Tobago","Corpus Christi, Corpus Christi, Texas",27,2709,420.4,39,1,80572.0
Valero,"Pembroke, United Kingdom","Port Of Boston, Boston, Massachusetts",27,2710,2685.6,265,7,78175.0
Citgo,"Pembroke, United Kingdom","Port Of Boston, Boston, Massachusetts",27,2710,618.2,61,7,78175.0
Valero,"High Seas,South Pacific","Port of Long Beach, Long Beach, California",27,2709,1615.6,153,1,53167.0
Valero,"Lianyungang, China","Port of New Orleans, New Orleans, Louisiana",15,1518,511.3,51,9,47288.92
Valero,"Altamira, Mexico","Port Arthur, Texas",27,2709,473.1,46,1,24191.0
ExxonMobil,"Rotterdam, Netherlands","Houston, Houston, Texas",38,3823,750.8,75,10,23184.5
ExxonMobil,"Rotterdam, Netherlands","New York/Newark Area, Newark, New Jersey",29,2905,400.3,40,20,21944.85
Valero,"Barao De Teffe, Brazil","Port of New Orleans, New Orleans, Louisiana",15,1502,501.2,50,4,20849.16
Valero,"Lianyungang, China","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",15,1518,450.9,45,10,17598.72
Emirates Aluminium (EGA),"Yokohama, Japan","Port of Long Beach, Long Beach, California",84,8462,960.0,96,212,15817.939999999999
Emirates Aluminium (EGA),"Veracruz, Mexico","San Juan, San Juan, Puerto Rico",87,8703,1380.0,138,396,10849.59
Emirates Aluminium (EGA),"Kawasaki, Japan","Baltimore, Maryland",87,8703,440.0,44,150,10688.489999999998
Chevron,"High Seas,Gulf Of Mexico","Port of Morgan City, Morgan City, Louisiana",86,8609,1960.1,196,164,8142.51
Emirates Aluminium (EGA),"Liverpool, United Kingdom","Baltimore, Maryland",68,6802,820.2,82,29,7841.53
Ternium,"All Other Brazil Ports South Of Recife, Brazil","Houston, Houston, Texas",72,7219,1070.5,107,15,7438.54
Ternium,"All Other Brazil Ports South Of Recife, Brazil","Houston, Houston, Texas",72,7210,1280.3,128,15,7438.54
Valero,"Sao Paulo, Brazil","Port of New Orleans, New Orleans, Louisiana",15,1502,801.4,80,1,1984.76
PBF Energy,"Esmeraldas, Ecuador","Martinez, California",27,2709,494.7,48,1,1806.0
Emirates Aluminium (EGA),"Kobe, Japan","Baltimore, Maryland",87,8703,480.0,48,1030,1692.1599999999999
Ecopetrol,"All Other Colombian Caribbean Region Ports, Colombia","Houston, Houston, Texas",27,2709,691.5,64,2,242.0
