HS2,HS4,Records,Tons
84,8441,12,17894.48
84,8456,93,17816.87
29,2924,15,17563.65
76,7602,23,17163.29
28,2804,18,17104.579999999998
85,8514,27,17058.420000000002
89,8903,581,16825.76
26,2606,58,16720.99
25,2504,40,16642.35
17,1703,20,16132.93
17,1702,9,15306.660000000002
22,2203,40,15258.74
94,9404,58,14979.79
81,8104,4,14853.32
84,8438,302,14700.39
72,7211,7,13658.05
08,0811,8,13486.4
85,8501,180,13475.9
73,7318,117,13472.28
28,2815,14,13455.460000000001
81,8111,83,13328.84
61,6110,51,13175.61
84,8455,201,13019.87
25,2502,3,12600.01
29,2907,20,12219.91
25,2526,11,12124.36
87,8705,101,12122.86
25,2528,13,11943.34
84,8409,457,11757.039999999999
23,2306,3,11682.82
61,6109,118,11481.039999999999
84,8430,99,11460.17
34,3407,4,11450.02
19,1904,1,11100.0
39,3921,30,10615.34
76,7614,42,10326.86
63,6305,5,10281.789999999999
21,2101,20,9987.76
26,2613,2,9970.25
27,2713,44,9950.52
31,3103,5,9793.63
03,0303,63,9616.550000000001
03,0304,50,9580.12
84,8457,73,9195.390000000001
39,3906,107,9153.53
95,9505,39,9093.680000000002
38,3804,3,9002.4
73,7315,16,8768.85
12,1212,22,8421.68
16,1604,14,8353.6
33,3304,653,8187.24
15,1516,12,7983.85
07,0710,17,7933.490000000001
35,3506,54,7868.1900000000005
48,4819,41,7855.4
69,6907,33,7807.450000000001
33,3303,29,7601.71
89,8905,2,7506.629999999999
38,3816,18,7505.08
84,8482,97,7464.070000000001
48,4811,54,7304.09
84,8402,16,7217.110000000001
85,8545,35,6914.64
21,2106,27,6712.040000000001
29,2918,21,6654.889999999999
36,3602,5,6626.29
18,1804,5,6520.52
39,3910,12,6352.09
15,1501,3,6338.99
84,8432,48,6275.57
10,1004,15,5874.83
73,7323,48,5790.67
73,7307,133,5731.79
73,7309,44,5566.22
39,3924,83,5446.74
19,1905,28,5443.56
72,7217,32,5378.61
39,3904,16,5319.03
84,8422,69,5272.13
87,8701,130,5148.76
29,2906,3,5050.049999999999
38,3813,2,5000.7
73,7301,2,4774.0
12,1204,16,4720.85
72,7227,15,4646.0
15,1520,2,4620.0
15,1517,7,4503.9
27,2704,3,4500.0
87,8704,83,4446.75
69,6902,14,4440.25
09,0910,4,4314.799999999999
84,8480,31,4274.13
25,2522,1,4225.76
84,8443,141,4198.93
22,2201,10,4156.16
39,3908,3,4122.27
96,9609,6,4071.1
74,7408,4,4019.42
35,3507,1,4018.35
42,4202,73,3969.27
33,3302,12,3848.5
84,8408,41,3759.67
72,7209,18,3740.97
84,8412,46,3653.64
84,8486,55,3653.53
85,8538,35,3549.1400000000003
25,2525,9,3495.2
72,7229,18,3433.92
44,4404,24,3309.48
90,9019,15,3217.58
72,7213,28,3188.35
76,7610,94,3165.1099999999997
82,8201,6,3068.7
68,6811,3,3012.0
39,3905,4,3000.41
28,2840,10,2995.05
73,7314,20,2930.74
73,7311,61,2922.38
90,9001,71,2888.02
33,3307,37,2882.31
85,8528,47,2881.31
39,3918,12,2859.6
03,0307,29,2764.7
83,8308,6,2747.2799999999997
73,7322,1,2677.66
25,2511,8,2562.42
84,8471,132,2535.25
84,8466,62,2528.32
76,7605,3,2490.73
63,6307,33,2423.57
95,9506,49,2403.2
73,7310,10,2371.86
82,8207,28,2294.55
27,2701,9,2277.1
40,4005,3,2206.08
87,8711,10,2192.2799999999997
82,8202,19,2101.14
72,7207,11,2087.7200000000003
15,1507,28,2052.2799999999997
33,3301,11,2004.33
84,8472,13,1995.78
85,8535,127,1917.4499999999998
72,7220,17,1885.16
32,3208,30,1882.86
86,8607,27,1822.97
68,6815,16,1822.6999999999998
39,3903,5,1807.02
18,1801,14,1778.1699999999998
84,8450,30,1774.58
23,2308,2,1771.49
28,2832,4,1769.78
84,8458,33,1755.86
28,2812,10,1731.8600000000001
13,1302,6,1725.55
84,8454,13,1661.18
84,8416,5,1630.52
72,7226,461,1624.19
15,1510,10,1564.68
84,8451,30,1509.89
29,2941,1,1504.5
34,3404,2,1504.3899999999999
15,1503,1,1503.0
52,5208,1,1500.3
85,8543,16,1463.81
90,9018,117,1458.7
38,3815,8,1454.0400000000002
32,3215,7,1432.8700000000001
48,4802,254,1355.0
44,4409,10,1328.41
85,8537,47,1306.54
27,2708,2,1255.18
72,7218,12,1202.73
63,6304,4,1183.33
08,0806,27,1177.25
88,8803,11,1171.61
64,6402,62,1164.8500000000001
85,8536,127,1057.61
84,8436,46,1044.0
56,5603,12,1018.95
87,8709,28,1017.1899999999999
02,0203,14,1014.82
85,8546,10,1008.41
74,7411,3,1002.96
94,9406,17,1001.73
84,8424,67,994.9
29,2931,20,946.89
75,7506,7,945.4
86,8603,4,932.4
76,7616,20,930.05
90,9031,44,910.96
57,5703,4,822.52
84,8460,39,806.37
56,5607,19,795.67
90,9032,5,741.22
39,3925,11,741.1000000000001
28,2814,3,718.01
46,4602,11,657.55
85,8509,33,650.89
94,9405,43,645.99
90,9026,41,637.98
08,0810,7,622.91
84,8459,30,586.35
28,2837,3,580.9200000000001
40,4008,3,572.8900000000001
63,6301,6,561.01
28,2811,10,519.84
63,6302,47,519.6800000000001
90,9017,2,513.81
84,8463,16,513.49
27,2711,3,496.09
84,8473,35,456.34000000000003
38,3802,16,454.65000000000003
85,8515,25,453.74
85,8539,12,452.67
61,6111,5,438.41
70,7013,7,437.04
10,1008,6,433.99
70,7019,18,429.68
12,1209,3,404.33000000000004
48,4806,150,394.84000000000003
73,7321,24,384.31
98,9808,5,383.99
98,9880,1,374.96
72,7215,3,334.14
63,6309,49,330.52000000000004
84,8406,10,325.82
85,8506,1,320.46
21,2103,8,320.39000000000004
87,8715,1,306.41
95,9508,10,301.15
17,1704,61,288.92
87,8702,11,285.54
33,3305,135,279.19
84,8439,3,269.74
22,2206,3,266.75
69,6913,6,260.57
38,3820,5,252.52
04,0409,20,245.94
85,8517,99,243.16000000000003
85,8525,29,241.49
22,2209,2,238.86
74,7407,2,219.16
09,0902,12,217.86
84,8465,11,214.54999999999998
93,9306,30,213.16
08,0801,11,209.89
09,0904,10,208.61
69,6912,15,203.14999999999998
29,2923,1,200.0
90,9030,34,194.06
61,6108,87,193.79999999999998
62,6203,72,183.25
85,8513,5,176.66
18,1806,22,174.85000000000002
85,8508,17,169.76000000000002
85,8518,45,168.47
39,3911,11,164.17000000000002
63,6310,4,162.93
44,4415,14,158.26
40,4009,44,156.0
05,0504,1,147.64
39,3919,50,147.09
49,4901,152,144.29
85,8512,12,137.0
12,1211,10,129.85
84,8487,24,126.75999999999999
05,0505,4,123.16000000000001
64,6404,35,122.88
61,6105,21,121.25999999999999
57,5702,7,119.75
90,9028,8,112.27
39,3915,7,110.72
88,8802,3,109.63
84,8407,19,106.65
75,7505,1,102.31
48,4803,2,100.5
73,7305,24,98.28
70,7018,2,90.1
68,6809,3,86.19
84,8464,12,83.89
61,6103,6,81.94
49,4911,26,80.88
34,3401,17,77.4
95,9504,49,74.66
