Party_Name,Total_Tons,Record_Count
Macsteel International Usa Corp.,313596.79,204
Verplank Dock Co.,309900.52,16
"Wanhua Chemical (America) Co., Ltd.",309720.25,106
Martin Operating Partnership,309348.21,17
Lyondell Chemical Co.,308031.01,32
Warner Petroleum,307605.22000000003,57
Bunge Loders Croklaan,307068.65,207
Pan American Grain Mfg. Co. Inc.,306197.73,43
Ineos Pigments Usa Inc.,305908.08,35
Cellulose Eldorado Usa Inc.,305684.0,40
Mufg Bank Ltd.,305220.9,205
Bitumar Usa Inc.,302034.0,43
Innophos Inc. (Geismar Plant),300760.94,36
Petrorio Luxembourg Sarl,297266.0,8
Gardau Metaldom Sa,295780.0,1
Interoceanic Corp.,293567.12,18
Kp Wood Ltd.,292290.54,111
Boscus Canada Inc.,290762.92,170
Imerys Perlite Usa Inc.,289178.0,32
Alpek Polyester Usa Llc,284052.14,32
Mercer Timber Products Llc,283857.91,92
Southern Ionics,279713.94,14
Superior Asphalt,277894.44,7
Tupras Trading Uk,276759.0,14
Parkland Us Supply Corp.,271931.94,15
Greenland Developers Inc.,268394.42,6
Husteel Usa Inc.,267777.74,591
Kg Steel Usa Inc.,266612.09,1605
Royal Petroleum Corp.,263300.04,8
Green America Biofuels,263196.78,9
Constellation Energy Commodities,263148.05,7
Duferco Steel Llc.,262118.89,276
Peerless Oil & Chemicals Inc.,261001.5,21
Sathi Llc,257557.0,5
Dongkuk International Inc.,253853.53,1608
Cemtech Usa Llc,252406.44,10
James Worldwide Inc.,251256.54,135
Sea Cliff Agency,251195.52000000002,6
Ameropa North America,247500.0,7
Komatsu America Corp.,243898.2,5709
Mitsubishi Corporation,243302.0,24
Riverside Constructions,242796.0,5
Pt Sumber Indah Perkasa,242558.65,205
Greenamerica,238525.52,7
Global Prime Wood Llc,232857.87,484
Cliffs Michigan Mining Co.,229469.6,18
Holcim (Us) Inc.,227750.63,7
Bnp Paribas Singapore,226845.0,6
Fortress Cement Inc.,225556.0,14
Cgb Enterprises,225500.0,5
Expeditors International,225145.48,720
Gma Garnet (Usa) Corp.,224720.0,9
Mitsubishi Internatio,224140.49,328
Hitachi Construction Machinery,221814.45,715
Molinos De Puerto Rico,221750.13,33
Sasol Chemicals (Usa) Llc,221409.92,375
Hydro Aluminium A.S.,220433.84,37
Parkland (Us.) Supply Corp.,220209.6,20
Wirt Saginaw Stone Dock,219962.0,20
Harmer Steel Products Co.,217929.11,17
World Fuel Services,217335.83000000002,16
Mid Ship Logistics,217128.02,409
Alcoa Usa Corp.,214574.0,10
C.Steinweg (Handelsveem Bv),213578.28,18
General Mills,212800.0,9
Jp Morgan Chase & Co.,211378.14,177
Stora Enso North American Sales,210678.82,1061
Freepoint Commodities Llc58 Commerc,210545.0,5
Expeditors International Ph 310 343 6200,210405.16,837
Hyundai Auto Canada Corp.,210283.76,231
"Aramco Trading Singapore Pte., Ltd.",210242.0,7
Rukert Terminals Corp.,210236.46,144
Hm Pacific Northwest Inc.,210000.0,30
Cimbar Resources Inc.,208487.23,42
Bluescope Steel Americas Llc,208140.91,53
Alcoa Carbon Products,207469.19999999998,14
Shell Chemical Lp,207365.86000000002,18
Cali America Logistics Inc.,206993.0,1776
Waste Management,206516.12,380
Natixis Finance,206137.36,42
Petco Trading (Uk) Ltd.,205413.31,4
North Coast Commodities Dmcc,204742.0,4
High Bridge Stone Co. Inc.,204600.0,22
Intl Materials. Inc.,204148.0,6
Ies Downstream Llc,204094.41999999998,7
Par Pacific,203048.24,4
Southwire Co.,202462.04,377
Volkswagen De Mexico S.A. De C.V.,202378.65,1232
J.A. Jack & Sons Inc.,201950.0,26
Petro Air Corp.,201467.86,8
Sodra Usa,200515.0,26
Centennial Rock Products,200100.0,32
Oakley Fertilizer Inc.,198926.86,35
Grjoca Llc,198853.41999999998,5
Feed Products South Inc.,198680.18,26
Anchorage Fueling And Service Co.,197819.90000000002,8
"Ford Trading Co., Llc",196912.66,501
Puma Energy Caribe Llc,195671.52,12
Upm Pulp Inc.,195625.07,48
Idemitsu International (Asia) Pte,195486.0,14
Honeywell International Inc.,195104.0,13
Tms International Llc,194933.34,25
Fornaroli Carta Usa Inc.,193966.77,29
Audi Ag,192985.85,105
Del Monte Fresh Produce N A Inc.,192135.62,623
Toyota Canada,190050.95,148
Prayon Inc.,188724.88999999998,37
Suncor Reffinerie De Montreal,188363.04,30
Castleton Commodities,187010.03999999998,11
Sonangol Ep,186898.01,2
Mitsubishi Motors North America,186764.9,736
Hansen Mueller,186000.0,14
Mitsubishi Gas Chemical America Inc.,185874.0,16
Growmark Inc.,185109.85,29
Sumitomo Mitsui Banking Corp.,185030.85,211
Maersk Oil Trading Inc.,183769.58,10
Aluar Aluminio Argentino Saic,183609.46,364
Geo Wm Rueff Inc.,183515.03,80
Univar Solutions Inc.,183023.6,26
Voest Alpine Tubular Corp.,182486.71,559
Korea Gs E&P Sdpp,181856.0,2
Societe Generale,179959.96000000002,63
Tidewater Global Llc,179382.0,7
Qp Timber Us Llc,179287.31,66
Hyundai Corp. (Usa) 12141 W,179019.74,385
Goodyear Tire & Rubber Co.,178573.38999999998,1137
Primetrade Inc.,178232.68,19
Nippon Steel Trading Americas Inc.,177646.52,107
Raizen Energia S A,177422.0,14
Hf Sinclair Refining & Marketing,176457.06,3
Outokumpu Stainless Usa Llc,173168.73,50
Del Monte Fresh Produce N. A. Inc.,173047.6,783
Socar Trading Sa,172645.6,7
Northstar Chemical Inc.,169797.61000000002,37
Banque Internationale De,169072.63,12
Gs Global Usa Inc.,168990.22,535
Stemcor London Ltd.,168934.0,6
Gamechanga Solar Corp.,168721.38,208
Voestalpine Usa Corp.,168340.52,483
Rw Smith,167895.94,264
Bp North America Petroleum,167554.0,9
Kolmar Americas Inc.,167159.19,35
Vestas American Wind,167048.42,108
Thomas Kowal Llc,165862.0,9
United States Steel Corp.,165449.74,7
Utc Overseas Inc.,164814.66,2027
Element Americas Inc.,162655.94,6
Sodra Cell Usa Inc.,161610.0,65
The Gas Co. Llc,161515.0,94
Raizen Trading S.A.,161382.72,7
Socar Trading North America,160966.0,2
Oakley International,158459.0,13
Methanex Trinidad Unlimited,157216.61,38
Pt Ivo Mas Tunggal,157034.17,110
Laxfuel Corp,155945.52000000002,4
Gt Commodities Llc,155617.92,142
Aramco Trading,154685.18,6
Musket Corp.,153936.54,7
Optima Steel International Llc,153661.14,667
Eni Trading & Shipping Inc.,151367.74,6
Emprada Mines And Minerals Llc,151143.0,6
Sultan Cement Llc,151035.64,8
Count Energy Trading Americas Llc,150791.91,34
Gea International Usa Llc,150323.45,4
North American Salt Co.,150000.0,5
Bp North America,149917.0,4
Delta Western Inc.,149316.4,13
Chalmette Refining Llc,149249.94,5
Volvo Construction Equipment,148525.58,3289
Chicago Port Railroad Co.,148061.0,5
Kuehne And Nagel Inc.,147778.55,22
Lkab Minerals Inc.,147748.0,12
Shima American Corp,147314.48,1429
Bmw Of North America Llc,146266.24,308
Prosperity Usa Corp.,145586.11,748
Jcb Inc. Sales,145300.7,399
Xiamen C And D Commodity Trading,144530.0,30
The Same And Page And Jones Inc.,144406.39,56
Hess Guyana Exploration Ltd.,144126.03,4
Phillips 66 Ltd.,143260.0,6
Biosphere Fuels Llc,142676.03,26
Okaya (Usa.) Inc.,141952.98,569
Cepsa,141945.44,9
Hess,141853.86,3
Intermetal International Metal,141374.76,50
Aloha Petroleum Ltd.,141369.66,24
Credit Suisse Ag,140056.39,73
Bjb Llc Dba Agri Trading,139990.12,14
Twin Rivers Technologies,139826.88,54
Natixis Prais,139272.48,1
Mashreq Bank Of Psc Dubai,139130.0,4
Wirt Stone Dock,138900.0,20
Ineos Nitriles Usa Llc,138600.3,20
Marathon,138300.0,2
Intl Resources Llc,137690.0,4
Osborne Concrete And Stone,136912.34,14
Cape Shipping Agencies,136235.41999999998,8
Penny Newman Grain Co.,136162.57,13
Motor City Materials,136000.0,8
Etimine Usa Inc.,135463.05,26
Atlantic Trading An,134895.31,11
Brown Brothers Harriman And Co.,134701.26,155
Natixis Paris Tour Bpce Quest,134635.36,1
Jsw Steel Usa,134417.46,6
China Offshore Oil (Singapore),134335.01,1
Litasco Middle East,134307.01,1
Banque Cantonale Vaudoise,134015.28,55
Usg Corp.,134000.0,3
Mazda Canada,133812.25,152
Credit Agricole Cib Singapore,133208.0,4
Kronos (Us) Inc.,132328.2,11
Sol Puerto Rico,131690.0,11
Americarb Inc.,130610.0,12
American Cement Advisors,130216.67,3
Salzgitter Mannesmann International,130183.92,537
Societe Generale Paris Zurich,129257.54,13
Mid American Salt Llc,129060.0,7
Pt Intibenua,128400.0,95
Asi,128007.5,210
Ed & F Man Liquid Products Corp.,127829.41,20
Guararapes Usa Inc.,127606.24,722
Meekhoffs Lakeside Dock,127000.0,6
Darlene Johnson Imp. Manager D J,124528.01,138
Dirt Rocks Llc,124336.4,4
Giant Cement Co.,123153.82,3
Barclays Bank London Branch,122900.0,4
Westlake Us 2 Llc,122764.59,12
Blackline Marketing Llc,122746.36,13
Ardent Mills Llc,122218.42,6
Fex Services Group Llc,122200.0,4
Htp Energy,121545.59999999999,26
Rain Cii Carbon Llc,121053.24,10
Tampa Port Services Llc,120797.6,8
Jea Northside Generating Station,120154.35,4
Credit Europe Bank,120135.94,21
Raizen Trad Sa,120068.9,2
Pernod Ricard Usa,119712.87,9
Cuyahoga Road Products,119707.79999999999,10
Seaonus Stevedoring,119656.42,66
Global Oil Terminals Llc,119545.0,12
Wilmar Oils And Fats (Stockton) Llc,118452.67,29
Siemens Gamesa Renewable Energy Inc.,117948.81999999999,24
Nfe North Trading Llc,117773.38,6
Royal Caribbean Cruise,117433.98000000001,12452
Inv Nylon Chemicals Americas Lld,117183.16,28
Volkswagen Ag,116472.71,121
Gimpex Ltd.,116410.0,4
Bwc Terminals Llc,116278.04,17
D J Powers Co Inc.,115613.6,847
Ge Renewables North America,115581.44,1206
Coastal Pedroleum Dominicana,115562.0,14
Virginia Electric Power Co.,115532.6,16
Oci Clean Ammonia Llc,115049.47,35
Hyundai Corp. (Usa) Houston,114146.6,297
Geodis Usa Llc,113942.34,830
Mitsubishi Motors North Amarica I,113341.11,319
Usalco Baltimore Plant Llc,111931.57,12
Marubeni Itochu Steel America Inc.,111928.70999999999,515
Repsol Petroleo,111886.0,4
Pt Pacrim Nusantara,110948.0,72
Godfrey Alloys Llc,110160.02,36
Lti Inc.,110100.0,2
Tianjin Sunward Building,110000.0,2
Ag Royce Metal Marketing,109818.01,9
Ing Bank N.V. Amsterdam Geneva Br Switzerland,109800.0,4
Avondale Marine,109782.25,12
Minerais Us Llc,109281.74,41
Samsung America Inc.,108792.72,392
Adm Toledo,108000.0,4
Midwest Terminals Of Toledo,107492.22,18
States Gypsum Co.,107260.01000000001,3
Gulf Inland Marine Services Inc.,107038.64,4
Cleveland Cliffs Indiana Harbor,106190.0,4
Rio Energy International,106103.41,6
Globe Coco Products Mfg.,106005.14,12
Minerva Bunkering Usa Llc,105944.3,10
Great Southern Wood Preserving,105607.87,223
Vallourec Deutschland Gmb H,104307.14,4
Societe General Paris,104262.3,3
Deme Offshore Us Llc,104065.24,75
Vallourec Usa Corp,104020.15,1223
Chemours International Operations Geneva Switzerland,103984.6,12
Tropigas De Puerto Rico Inc.,103787.59,122
Pt Sari Dumai Sejati,103159.29000000001,52
Universal Alloys Inc.,103005.15000000001,8
Metroplex,102913.12,8
Dreymoor America Llc,102748.75,6
Cargill Inc.,102595.27,57
Sc Marketing Us Inc.,102536.0,40
Reliance Inter,101931.0,6
American Airlines,101790.24,10
Hyundai Construction Equipment Americas Inc.,101753.85,1023
All States Asphalt Llc,101611.17,23
Ajax Materials Corp.,101359.62,29
Calamco,101109.9,14
Wholesome Sweeteners,100716.88,8
Steel Dynamics Southwest Llc,100679.51000000001,5
John Deere Construction & Forestry,100574.47,1152
Galtrade Ltd.,100372.76,6
Harmer Steel Ltd. Attn Summer,100359.0,2
Petrorio Luxemborg Holdings S.A.R.L,100127.98,2
National Material Trading Llc,100106.0,17
Jfe Shoji Trade America Inc.,99985.8,358
Pt Sinar Mas Agro,99480.58,105
Bayway Refinery,99332.0,2
Quality Liquid Feeds,99074.32,19
Koch Nitrogen Co.,99000.0,2
Norfalco Llc,98879.29,18
Fca Us Llc,98721.0,720
Grajoca Llc,98600.0,2
Mauser Usa Llc,98137.34,8
Evonik Corp.,97864.72,14
Corvi Acero S. A.,97862.0,1
Kobelco Construction Machinery Us.,97758.24,606
M 1 Llc,96980.0,4
Cargill Salt Tampa,96951.92,4
Siemens Gamesa Renewable Energy,96718.73,52
Industrializadora Oleofinos Sa De Cv,96543.4,44
Venator Materials Llc,96518.73,8
Mitsubishi Motors Sales Of Canada,95846.37,118
Indagro Usa Inc.,95701.48,6
Repsol,95307.0,1
Nuh Cimento Sanayi A.S.,95021.0,3
Sonangol Gas E Enrgias,94596.0,8
"Rongsheng Petrochemical Pte., Ltd.",94258.0,4
Tengizchevroil Llp,93938.0,3
Raizen Trading Llp,93510.0,18
Harbor Bunkering Corp.,92435.9,15
Iquisa Noreste S.A. De C.V.,92400.0,2
Bmo Bank N.A. Chicago,92176.35,136
Respol Trading S.A.,92068.49,1
Covestro Llc,91691.42,24
Shell Lubricants Supply,91074.98,6
Gcnc Port Operations I Llc,91000.0,2
Jp Morgan Chase Bank Na,90094.41,16
Marathon Internatoinal Products,90017.86,6
Gaetano Cacciatore Inc.,90000.0,2
Road And Highway Builders,90000.0,2
Tampa Bay Ship Services,90000.0,2
Rh Texas Inc.,89805.44,14
Great Lakes Calcium (Green Bay),89000.0,3
Isuzu North America Corp.,88279.65,238
American Borate Co.,88029.46,33
Texas Lehigh Cement,88000.0,2
Bpna,87903.1,6
Tata Steel Int (Americas) Inc.,87138.7,209
Ing Bank N.V,87074.0,14
Kia Canada Inc.,86972.6,78
Mining Mineral Commodity Trading,86742.0,6
Aramco Trading Ltd.,86553.86,4
Davao Bay Coconut Oil Mills Inc.,86549.98,66
The Andersons,86432.84,13
Kinder Morgan Terminals,86000.0,2
Ineos Us Chemicals Co.,85593.65,12
Doug Wirtenterprises,85420.5,12
Superior Weighting Products Llc,85250.0,3
Lbx,85169.47,391
Intl Matex Tank Terminals,84842.4,32
Sopus Oil Products,84632.46,2
Eastman Chemical Co.,84457.36,9
Seacliff Agency,84332.78,2
Galp Trading Sa,83741.0,3
Mieco Llc,83670.18000000001,10
New England Salt Co.,83668.0,2
Litasco Sa,83506.28,4
Del Monte Fresh Produce Co.,83292.23,320
Separation Technologies Llc,83000.6,5
Border Brokers,82872.17,117
Wirtgen America,82419.02,1224
Adm Milling,82400.0,5
Aak Usa Inc.,82251.75,126
Midwest Ironville Terminal,81864.0,5
Central National Gottesman Inc.,81703.41,30
Hengyi Industries International Pte,81684.0,2
Parque Industrial Luchetti,81469.96,3
Tricon,81454.0,16
Tupras Turkish Petroleum,81242.0,4
Sesacem Cement Llc,80959.66,4
Natixis,80746.14,25
J. Aron & Co.,80679.92,22
Sumitomo Corp. Of America,80639.52,64
Levy International Materials,80622.43,11
"Nexteel Co., Ltd.",80537.96,208
Tupras,80247.0,3
Master C S Rene Descartes,79992.91,20
Kinder Morgan Terminal,79883.63,13
Phillips 66 Co. Sweeny Refinery,79847.42,2
Eni Trading And Bio,79556.0,4
Seah Steel America Inc.,79547.76,210
"Emprada Mines And Minerals Pvt., Ltd.",78915.0,6
Cssa Chartering,78614.0,2
Marathon Oil Co.,78418.8,5
Associated Asphalt Distribution Llc,78265.96,9
Icl Specialty Products Inc.,77704.62,12
Sunrise Foods International Inc.,77339.76,23
Lone Star Industries Inc.,77002.92,2
Century Aluminum Of Sc Inc.,76907.55,6
Bank Of China,76619.48,1
Us. Minerals Inc.,76172.94,2
Mercuria Energy America,75912.9,40
Inv Nylon Chemical,75507.63,9
Billerudkorsnas Usa Llc,75338.94,52
Incoa Performance Minerals,75245.52,2
Merichem Co.,75144.82,34
Tadano America Corporation,75081.08,401
Toyota De Puerto Rico Corp.,75065.06,231
Arab Bank,74018.83,33
Totsa Total Oil Trading,73886.0,4
Kataman Metals Llc,73755.32,86
Huber Carbonates Llc,73746.55,2
Barclays Bank Plc,73114.0,2
Outokumpu Mexinox S.A. De C.V.,73063.45999999999,21
S K Energy,72910.0,6
Deer Park Refinery,72753.07,1
Ixm Sa,72714.87,94
M I Llc,72580.0,4
Sprague Operating Resources Llc,72480.04,2
Bdp Imp. Chemours,72183.33,7
Jsw Steel (Usa) Inc. 5200 East Mcki,72164.0,5
Kerneos Inc.,72054.12,5
Gm Corporate Material Brokering,71924.3,69
Marathon Los Angeles Refinery,71835.73,1
Parkland (Us) Supply Corp.,71667.09,17
Chemours International Operations Sarl Geneva Switzerland,71032.0,8
Utc Overseas S.A. Rut 99.540.78 9,70870.0,1
Bayerische Motoren Werke Ag,70471.92,116
Cargill De Mexico S.A De C.V,70450.38,16
R W Smith And Co Inc.,70307.26,187
Industrial Azucarera,70284.0,4
Scan Global Logistics,70078.68,165
British Steel America Inc.,70020.02,213
Bredero Shaw Mexico S.A. De C.V.,70000.02,2
Copersucar S.A.,70000.0,2
Tupras Trading Ltd.,69973.0,3
Nippon Steel Trading Americas,69797.82,69
Nevada Cement,69566.44,4
Helm Fertilizer Corperation,69459.78,7
Cooperatieve Rabobank U.A.,69272.13,25
Adnoc Global Trad Ltd.,69200.94,4
Peter Cremer Na Lp,69021.0,13
Entergy,68446.27,1
Crc Rota Sanayi Ve Dis,68233.4,4
Viterra Polska Sp.Z.O.O.,68213.93000000001,2
Asr Group Commodities (Us) Llc,68000.0,2
Clm Enterprises Inc.,67376.64,368
Medtrade Inc.,67216.98,10
Steel Dynamics Inc.,67215.82,22
Koch Taft,67201.84,4
Gma Garnet Usa Corp.,67200.0,2
Asphaltos Trade Sa,66990.24,7
Bekaert Corp,66751.82,82
Cambria,66514.68,14
Sol Petroleum,66386.0,2
Petroleum Product Supply Llc,66285.04000000001,10
Saint Bernard Renewables Llc,66097.51,8
Southern States Chemical,66067.12,6
Kinder Morgan,66000.0,2
Hij Internationl Trading Co. Llc,66000.0,2
Sargents Dock,66000.0,4
Cementos Progreso S.A.,65997.0,4
Barclays Bank Plc London,65995.0,1
Cemeco Trading Llc,65901.0,3
Global Compaines Llc,65899.47,4
Methanex Methanol Co.,65318.0,15
N 7 Llc,65100.0,2
T O Totalenergies Gas & Power Ltd.,65072.0,1
Valls International Inc.,65000.47,22
Emprada Llc,65000.0,3
Ardent Mills Port Redwing,64776.0,2
Cargill Salt,64448.0,2
Chemium International Corp,64322.7,20
Doug Wirt Enterprises Inc. (Sag),64300.0,4
Ameropa Ag,64050.0,2
Aluminium Bahrain Us Inc.,64007.32,78
Pantaleon Commodities Corp.,63154.99,17
Stonepeak Ceramics Inc.,63119.94,8
Smbc Bank Inter,63016.0,8
American Plant Good Corp.,63000.0,2
Rta Holdco Australia 5 (Pty) ) Ltd.,63000.0,4
Eto Ubs Switzerland Ag,62746.0,4
Hsbc Bank Plc,62455.0,16
Monjasa Inc.,62421.44,8
Sucro Can Sourcing Llc,61548.24,20
John S James Co. 4500 Leeds,60998.0,9
Traxys Cometals Usa Llc,60793.46,13
Aaa Salt Llc,60720.0,4
Midwest Terminals Of Toledo International Inc.,60599.939999999995,6
Subaru Canada Inc.,60490.36,62
Reith Riley Construction Co. Inc.,60237.08,4
Kuehne Nagel Atl .,60044.7,6
E.C. Levy Co.,60000.0,7
Alcoa Material Management,59928.020000000004,8
Bacardi Corp,59805.53,15
Petro Trading (Uk) Ltd.,59546.0,1
Cf Industries Sales Llc,59399.92,2
Stolthaven Terminals N555,59294.979999999996,38
Peerless Oil Chemicals,59204.99,11
Dal Tile Corporation,59198.84,5
Vopak Terminal Savannah Inc.,59168.44,27
Kiswire Pine Bluff Inc.,59124.5,116
Coastal Virginia Offshore Wind,58933.2,4
Fuji Vegetable Oil Inc.,58844.38,43
Ubs Switzerland Ag Switzerland,58500.0,6
Ing Bank,58418.19,4
Unipec Canada Ltd.,58400.64,1
Refineria Dominicana De Petroleo Sa,58326.0,7
Hyundai Glovis Mexico S De Rl De Cv,58265.93,98
Canusa Paper And Packaging,58125.25,63
Agco Corporation,58108.4,440
Cleveland Cliffs Marquette,57676.240000000005,4
Target Steel Inc.,57514.83,137
Excelerate Gas Marketing Lp,57318.99,1
Hanwa American Corp.,57191.16,301
Innovative Municipal Products (Us),57153.09,6
Gold Bonk Building Products Llc,57080.0,2
Natixis Bank,57066.159999999996,224
Link Metals Llc,57000.1,20
Imi Fabi Llc,56988.94,3
Itochu Chemicals America Inc.,56926.72,55
Bayer Cropscience Lp,56594.24,22
Pt Sinar Mas Agro Resources An,55893.89,42
Geo.Wm. Rueff Inc.,55808.4,6
Aceros Y Overollings De Mexico,55806.4,27
Roehm America Llc,55752.38,45
Cremer Erzkontor N.A. Inc.,55547.8,83
Blg Auto Tec,55497.44,46
Ca Indosuez,55303.0,1
Continental Tire The Americas Llc,55231.61,587
