Entity_Type,Entity_1,Entity_2,Entity_1_Total_Tons,Entity_2_Total_Tons,Overlapping_Trade_Lanes,Overlap_Tonnage,Overlap_Pct_Entity_1,Overlap_Pct_Entity_2,Max_Overlap_Pct,Top_Competing_Lane_1,Top_Competing_Lane_2,Top_Competing_Lane_3
Consignee,DUFERCO STEEL LLC.,HYUNDAI CORP. (USA) HOUSTON,262118.89000000028,114146.59999999996,9,17941.09,6.844638324235228,15.71758598153603,15.71758598153603,"ALL OTHER VIET NAM PORTS, VIETNAM→NEW ORLEANS|GENERAL CARGO","PYONGTAEK, SOUTH KOREA→HOUSTON|STEEL","ALL OTHER VIET NAM PORTS, VIETNAM→HOUSTON|GENERAL CARGO"
Consignee,INTL FOREST PRODUCTS,SHERWOOD LUMBER,48160.45999999999,48590.45,2,17932.67,37.2352548127655,36.905749998199234,37.2352548127655,"BRAKE, GERMANY→NEW YORK|UNCLASSIFIED","BREMEN, GERMANY→NEW YORK|GENERAL CARGO",
Shipper,TRAFIGURA PTD LTD.,VITOL SA,17924.0,32984.0,1,17924.0,100.0,54.341498908561725,100.0,"AIGION, GREECE→NEW ORLEANS|UNCLASSIFIED",,
Consignee,KOLMAR AMERICAS INC.,TSRC SPECIALTY MATERIALS LLC,167159.18999999997,36100.479999999996,3,17920.82,10.720810504047073,49.64150061162622,49.64150061162622,"ARATU, BRAZIL→HOUSTON|CHEMICALS","ALL OTHER CHINA (TAIWAN) PORTS, TAIWAN→HOUSTON|CHEMICALS","ARATU, BRAZIL→VIRGIN ISLANDS|CHEMICALS"
Consignee,VALERO MARKETING AND SUPPLY CO.,WORLD FUEL SERVICES,42417342.23999999,217335.83000000002,3,17909.0,0.04222093854600732,8.240242761628396,8.240242761628396,"FREEPORT, GRAND BAHAMA I, BAHAMAS→SOUTH FLORIDA|PETROLEUM PRODUCTS","SAMIL, SOUTH KOREA→SOUTH FLORIDA|CRUDE OIL","AL JUBAIL, SAUDI ARABIA→SOUTH FLORIDA|PETROLEUM PRODUCTS"
Shipper,MERCEDES BENZ,VOLVO CONSTRUCTION EQUIPMENT AB,530957.6400000008,45660.63999999993,3,17908.95,3.3729526897851914,39.221854971809485,39.221854971809485,"ZEEBRUGGE, BELGIUM→BALTIMORE|RO/RO","ZEEBRUGGE, BELGIUM→HOUSTON|RO/RO","ZEEBRUGGE, BELGIUM→GEORGIA PORTS|RO/RO"
Shipper,BPWOOD LTD.,HOLZINDUSTRIE STALLINGER GMB H,31576.120000000003,90508.38000000005,5,17895.260000000002,56.67339749152207,19.77193713996427,56.67339749152207,"BRAKE, GERMANY→MOBILE|FORESTRY","BRAKE, GERMANY→HOUSTON|FORESTRY","BREMEN, GERMANY→MOBILE|FORESTRY"
Shipper,IMPERIAL OIL CO.,TRANSMOUNTAIN WESTRIDGE MARINE,267170.5,119432.0,1,17888.379999999997,6.69549220441628,14.977878625494004,14.977878625494004,"VANCOUVER, BC, CANADA→SEATTLE-TACOMA|PETROLEUM PRODUCTS",,
Shipper,BP PRODUCTS NORTH AMERICA,IMPERIAL OIL CO.,1237750.6800000002,267170.5,1,17888.379999999997,1.4452328961758272,6.69549220441628,6.69549220441628,"VANCOUVER, BC, CANADA→SEATTLE-TACOMA|PETROLEUM PRODUCTS",,
Consignee,CEVA LOGISTICS,JOHN DEERE CONSTRUCTION & FORESTRY,444198.7299999957,100574.47000000029,17,17876.34999999999,4.024403671752993,17.77424231020053,17.77424231020053,"MANZANILLO, PANAMA→HOUSTON|RO/RO","SAO PAULO, BRAZIL→HOUSTON|RO/RO","MANZANILLO, PANAMA→SEATTLE-TACOMA|RO/RO"
