Section,Commodity,Metric,Value,Rank,Details
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Turkey,144.5K,45,3.8% of tonnage | 28 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),China,128.3K,10,3.4% of tonnage | 61 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Poland,121.9K,33,3.2% of tonnage | 9 shipments
ORIGIN_COUNTRIES,Grain & Oilseeds (HS10-12),Saudi Arabia,121.0K,37,3.2% of tonnage | 2 shipments
,,,,,
VESSEL_TYPES,Grain & Oilseeds (HS10-12),Bulk Carrier,2.20M,,58.6% of tonnage | 650 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),Tanker,233.4K,,6.2% of tonnage | 57 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),General Cargo,217.2K,,5.8% of tonnage | 32 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),RoRo,54.0K,,1.4% of tonnage | 408 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),Container,2.0K,,0.1% of tonnage | 25 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),Reefer,498.2,,0.0% of tonnage | 12 shipments
VESSEL_TYPES,Grain & Oilseeds (HS10-12),LPG/LNG Carrier,0.8,,0.0% of tonnage | 2 shipments
,,,,,
,,,,,
OVERVIEW,"Chemicals (HS28-29, HS38)",Total Records,"9,590",,
OVERVIEW,"Chemicals (HS28-29, HS38)",Total Tonnage,36.00M,,"35,995,736 metric tons"
OVERVIEW,"Chemicals (HS28-29, HS38)",Total Value,"$95,669,290,535",,
OVERVIEW,"Chemicals (HS28-29, HS38)",Unique Origins,341,,
OVERVIEW,"Chemicals (HS28-29, HS38)",Unique Destinations,87,,
,,,,,
TRADE_LANES,"Chemicals (HS28-29, HS38)",Rotterdam -> New York/Newark Area,4.67M,809,"110 shipments | $3,251,034,000"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Coatzacoalcos -> Baton Rouge (BTR) Airport,3.10M,370,"93 shipments | $4,844,657,000"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Rotterdam -> The Port of Charleston,1.42M,820,"35 shipments | $2,909,764,200"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Coatzacoalcos -> Port Arthur,1.11M,374,"8 shipments | $2,050,072,000"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Antwerp -> Philadelphia Regional Port Authority,860.6K,201,"45 shipments | $1,414,659,000"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Rotterdam -> Tampa,717.3K,819,"25 shipments | $75,036,000"
