Analysis_Type,Entity_ID,Entity_Name,Vessel_Type,Carrier,Vessel_Name,Vessel_Size_Class,Total_Tons,Total_Value,Shipment_Count,Unique_Vessels,Pct_Tons,Pct_Shipments
Entity_Vessel_Type,TERNIUM-001,Ternium,Other,,,,107066.0,63918000.0,0,,1.2717809125997215,0.0
Entity_Vessel_Type,TERNIUM-001,Ternium,RoRo,,,,92019.0,77796000.0,4,,1.0930454840613617,1.5625
Entity_Vessel_Type,TERNIUM-001,Ternium,Unknown,,,,957660.28,1072678400.0,94,,11.37554466272117,36.71875
Entity_Vessel_Type,TERNIUM-001,Ternium,Vehicle Carrier,,,,39.14,926000.0,2,,0.0004649235510727317,0.78125
Entity_Vessel_Type,TRAFIGURA-001,Trafigura,Bulk Carrier,,,,18310.420000000002,81340000.0,12,,0.3658424755757098,25.53191489361702
Entity_Vessel_Type,TRAFIGURA-001,Trafigura,General Cargo,,,,20035.07,98369000.0,10,,0.40030100932325063,21.27659574468085
Entity_Vessel_Type,TRAFIGURA-001,Trafigura,LPG Tanker,,,,133898.26,79670000.0,0,,2.6752893114237706,0.0
Entity_Vessel_Type,TRAFIGURA-001,Trafigura,Tanker (Other),,,,4331252.72,3012462200.0,16,,86.53849651885791,34.04255319148936
Entity_Vessel_Type,TRAFIGURA-001,Trafigura,Unknown,,,,501504.65,408064000.0,9,,10.020070684819347,19.148936170212767
Entity_Vessel_Type,VALERO-001,Valero,Bulk Carrier,,,,300004.78,243795000.0,6,,0.6892317337213416,1.0771992818671454
Entity_Vessel_Type,VALERO-001,Valero,Tanker (Other),,,,39171361.12,27849205700.0,475,,89.99238324456813,85.27827648114902
Entity_Vessel_Type,VALERO-001,Valero,Unknown,,,,4056052.43,2725286100.0,76,,9.318385021710522,13.644524236983843
Entity_Vessel_Type,VULCAN-001,Vulcan Materials,Unknown,,,,3310607.89,4316099333.0,89,,100.0,100.0
Entity_Carrier,BP-001,BP,,ADHQ - Ardmore Shipping,,,115923.0,99620000.0,0,3.0,2.391018325078535,0.0
Entity_Carrier,BP-001,BP,,AETK - Aet Inc Pte Ltd,,,189106.0,114408000.0,6,1.0,3.9004849027570154,9.836065573770492
Entity_Carrier,BP-001,BP,,AWNC - Astra Two,,,15001.0,12691000.0,0,1.0,0.3094094001578902,0.0
Entity_Carrier,BP-001,BP,,BNBN - Braskem Trading And Shipping Bv,,,54604.67,47045000.0,5,1.0,1.1262714612705516,8.19672131147541
