Keyword,Frequency,Records,Tonnage,Avg_Tons,Pct_Records,Pct_Tonnage
packed,1650,381,86964.01000000001,228.2519947506562,0.6571344797254178,0.06661221515733862
fda,3873,365,77678.8,212.81863013698631,0.6295382811017782,0.059499980954924626
processing,1165,133,77254.32999999999,580.8596240601503,0.2293934010590041,0.05917484775364014
service,1260,331,72385.25,218.68655589123867,0.5708963590265441,0.055445256574734134
equivalent,3960,306,62456.380000000005,204.10581699346406,0.5277772986771072,0.04783999521765959
damage,1263,438,55357.78,126.38762557077625,0.7554459373221338,0.042402648543835735
coffee,4959,458,52179.57,113.92919213973799,0.7899411856016834,0.03996822068873562
registration,1516,131,45087.47,344.17916030534354,0.22594387623104917,0.03453585284924247
usd,1686,893,43217.4,48.39574468085107,1.5402128356818847,0.033103426892811934
bulks,2640,192,41607.43,216.70536458333333,0.3311543834836751,0.03187023090706035
semi,1721,286,36840.3,128.81223776223777,0.49328205039755774,0.028218730829694977
numbers,2526,77,35214.42,457.33012987012984,0.13280670587626553,0.026973348189450876
value,1855,718,32946.87,45.88700557103064,1.2383794132358268,0.025236462683825928
tare,1268,221,32831.24,148.55764705882353,0.3811724934890219,0.025147893050955467
vietnam,2147,176,30707.579999999998,174.47488636363636,0.3035581848600355,0.023521223617921805
acsm,2399,62,23463.090000000004,378.436935483871,0.10693526966660342,0.017972128922481845
cbp,1453,1452,14120.829999999998,9.725089531680439,2.504355025095293,0.010816195874134618
trlrs,3237,232,12436.07,53.60375,0.4001448800427741,0.009525712654599575
paper,4587,1649,4464.32,2.7072892662219523,2.8441332206488554,0.003419555335261218
upm,1351,1354,3705.7000000000003,2.73685376661743,2.3353283085255008,0.0028384717506535146
