Column_Number,Column_Name,Sample_Value,Source,Description
74,Clearance_Vessel_Dwt_Draft_ft,21.23,Ship Registry / Derived,Clearance_Vessel_Dwt_Draft_ft from Ship Registry / Derived
75,Clearance_Vessel_Match_Method,IMO,Ship Registry / Derived,Clearance_Vessel_Match_Method from Ship Registry / Derived
76,Clearance_Draft_Pct_of_Max,84.8,Ship Registry / Derived,Clearance_Draft_Pct_of_Max from Ship Registry / Derived
77,Clearance_Forecasted_Activity,Discharge,USACE Clearance,Clearance_Forecasted_Activity from USACE Clearance
78,Clearance_WHERE_IND,Foreign,USACE Clearance,Clearance_WHERE_IND from USACE Clearance
79,Clearance_WHERE_PORT,3803.0,USACE Clearance,Clearance_WHERE_PORT from USACE Clearance
80,Clearance_Previous_US_Port_USACE,"Mueller Township, MI",USACE Clearance,Clearance_Previous_US_Port_USACE from USACE Clearance
81,Clearance_WHERE_SCHEDK,6768.0,USACE Clearance,Clearance_WHERE_SCHEDK from USACE Clearance
82,Clearance_Previous_Foreign_Port,"Owen Sound, ONT",USACE Clearance,Clearance_Previous_Foreign_Port from USACE Clearance
83,Clearance_Previous_Foreign_Country,Canada,USACE Clearance,Clearance_Previous_Foreign_Country from USACE Clearance
84,Clearance_WHERE_NAME,"Owen Sound, ONT",USACE Clearance,Clearance_WHERE_NAME from USACE Clearance
85,Clearance_WHERE_CTRY,Canada,USACE Clearance,Clearance_WHERE_CTRY from USACE Clearance
86,Clearance_Group,Dry Bulk,USACE Clearance,Clearance_Group from USACE Clearance
87,Clearance_Commodity,Barge,USACE Clearance,Clearance_Commodity from USACE Clearance
88,Clearance_Port_Consolidated,Seattle-Tacoma,Derived,Clearance_Port_Consolidated from Derived
89,Clearance_Port_Coast,West,Derived,Clearance_Port_Coast from Derived
90,Clearance_Port_Region,Pacific Northwest,Derived,Clearance_Port_Region from Derived
91,Clearance_VOY_RECID,VOY_EXP_0000351,Panjiva Export,Clearance_VOY_RECID from Panjiva Export
92,Clearance_Panjiva_Carrier,LLKT - Lower Lakes Towing Ltd,Panjiva Export,Clearance_Panjiva_Carrier from Panjiva Export
93,Clearance_Panjiva_Shipper,Us Steel,Panjiva Export,Clearance_Panjiva_Shipper from Panjiva Export
94,Clearance_Panjiva_Tons,16025.01,Panjiva Export,Clearance_Panjiva_Tons from Panjiva Export
95,Clearance_Match_Days_Offset,3.0,USACE Clearance,Clearance_Match_Days_Offset from USACE Clearance
96,Clearance_Match_Pass,2.0,USACE Clearance,Clearance_Match_Pass from USACE Clearance
97,Clearance_Match_Method,Vessel_Name,Derived,Clearance_Match_Method from Derived
98,Clearance_Clearance_Date_Parsed,2023-06-11,Derived,Clearance_Clearance_Date_Parsed from Derived
99,Port_Stay_Days_Decimal,39.0,Derived - Matching,Port_Stay_Days_Decimal from Derived - Matching
100,Port_Stay_Days_Int,39.0,Derived - Matching,Port_Stay_Days_Int from Derived - Matching
101,Match_Score,0.8,Derived - Matching,Match_Score from Derived - Matching
102,Match_Type,BOTH,Derived - Matching,Match_Type from Derived - Matching
103,Match_Method,IMO,Derived - Matching,Match_Method from Derived - Matching
104,Entrance_Date_Parsed,2023-05-03,Derived,Entrance_Date_Parsed from Derived
105,Clearance_Date_Parsed,2023-06-11,Derived,Clearance_Date_Parsed from Derived
106,Tug_Barge_Pair_ID,TB_ENT_27,Derived - Matching,Tug_Barge_Pair_ID from Derived - Matching
107,Pairing_Confidence,HIST_1X,Derived - Matching,Pairing_Confidence from Derived - Matching
108,Clearance_Vessel_Clean,ST. MARYS CHALLENGER,Ship Registry / Derived,Clearance_Vessel_Clean from Ship Registry / Derived
109,Grain_Export,False,FGIS Grain Export,Grain_Export from FGIS Grain Export
110,FGIS_RECID,609731.0,FGIS Grain Export,FGIS_RECID from FGIS Grain Export
111,Grain_Type,WHEAT,FGIS Grain Export,Grain_Type from FGIS Grain Export
112,Grain_Detail,HRW,FGIS Grain Export,Grain_Detail from FGIS Grain Export
113,Grain_MT,"10,780",FGIS Grain Export,Grain_MT from FGIS Grain Export
114,Grain_Pounds,"23,765,400",FGIS Grain Export,Grain_Pounds from FGIS Grain Export
115,Match_Quality,Similarity_1.00_DateDiff_1d,FGIS Grain Export,Match_Quality from FGIS Grain Export
